longname,Poverty %,LICO-AT %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Skåne län, Sweden",,,,,,,,,,,,,,
"Salta, Argentina",,,,,,,,,,,,,,
"Plateaux, Togo",,,,,,,,,,,,,,
"'Amrān, Yemen",,,,,,,,,,,,,,
"Northern, Sierra Leone",,,,,,,,,,,,,,
"Bohol, Philippines",,,,,,,,,,,,,,
"Shyghys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,,,
"Rukwa, Tanzania",,,,,,,,,,,,,,
"Lâm Ðồng, Vietnam",,,,,,,,,,,,,,
"Sofia (stolitsa), Bulgaria",,,,,,,,,,,,,,
"Yamaguti, Japan",,,,,,,,,,,,,,
"Alta Verapaz, Guatemala",,,,,,,,,,,,,,
"Sóc Trăng, Vietnam",,,,,,,,,,,,,,
"Qaraghandy oblysy, Kazakhstan",,,,,,,,,,,,,,
"Balıkesir, Turkey",,,,,,,,,,,,,,
"Nayarit, Mexico",,,,,,,,,,,,,,
"Batna, Algeria",,,,,,,,,,,,,,
"Tul'skaya oblast', Russia",,,,,,,,,,,,,,
"Aguascalientes, Mexico",,,,,,,,,,,,,,
"Mary, Turkmenistan",,,,,,,,,,,,,,
"Al Uqşur, Egypt",,,,,,,,,,,,,,
"Moxico, Angola",,,,,,,,,,,,,,
"Ghaznī, Afghanistan",,,,,,,,,,,,,,
"Ivano-Frankivska oblast, Ukraine",,,,,,,,,,,,,,
"Mombasa, Kenya",,,,,,,,,,,,,,
"Cauca, Colombia",,,,,,,,,,,,,,
"New Hampshire, USA",0.07396589946617492,,0.29081250834346145,0.2959818413077101,0.41320565034882845,,,,0.5985688120988486,0.2686326345163806,0.1327985533847709,,,
"Poltavska oblast, Ukraine",,,,,,,,,,,,,,
"Kisii, Kenya",,,,,,,,,,,,,,
"Nakhon Si Thammarat, Thailand",,,,,,,,,,,,,,
"North Western, Sierra Leone",,,,,,,,,,,,,,
"Uturumæ̆da paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Entre Ríos, Argentina",,,,,,,,,,,,,,
"Maine, USA",0.1104775601362032,,0.39906378932087416,0.3184215327162814,0.28251467796284446,,,,0.6867771783346457,0.23139432209133803,0.08182849957401628,,,
"Huehuetenango, Guatemala",,,,,,,,,,,,,,
"Ehime, Japan",,,,,,,,,,,,,,
"Cagayan, Philippines",,,,,,,,,,,,,,
"Aragón, Spain",,,,,,,,,,,,,,
"Tlaxcala, Mexico",,,,,,,,,,,,,,
"Almaty, Kazakhstan",,,,,,,,,,,,,,
"Kilifi, Kenya",,,,,,,,,,,,,,
"Penzenskaya oblast', Russia",,,,,,,,,,,,,,
"Cotabato, Philippines",,,,,,,,,,,,,,
"Msila, Algeria",,,,,,,,,,,,,,
"Nuwākshūţ, Mauritania",,,,,,,,,,,,,,
"Manitoba, Canada",,0.06300486613083804,,,,0.26108531775747784,0.35799510758324465,0.3809195746592775,,,,0.630647263249349,0.2905971092330799,0.07875562751757095
"Boké, Guinea",,,,,,,,,,,,,,
"Palawan, Philippines",,,,,,,,,,,,,,
"Van, Turkey",,,,,,,,,,,,,,
"Comoé, Ivory Coast",,,,,,,,,,,,,,
"Tây Ninh, Vietnam",,,,,,,,,,,,,,
"Praha, Hlavní město, Czech Republic",,,,,,,,,,,,,,
"Cusco, Peru",,,,,,,,,,,,,,
"Midtjylland, Denmark",,,,,,,,,,,,,,
"Nagasaki, Japan",,,,,,,,,,,,,,
"Misiones, Argentina",,,,,,,,,,,,,,
"Atsimo-Atsinanana, Madagascar",,,,,,,,,,,,,,
"Al Qaşīm, Saudi Arabia",,,,,,,,,,,,,,
"Blida, Algeria",,,,,,,,,,,,,,
"Tolima, Colombia",,,,,,,,,,,,,,
"Khabarovskiy kray, Russia",,,,,,,,,,,,,,
"Mai-Ndombe, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Boumerdès, Algeria",,,,,,,,,,,,,,
"Ūva paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Northern Cape, South Africa",,,,,,,,,,,,,,
"Chlef, Algeria",,,,,,,,,,,,,,
"Jonglei, South Sudan",,,,,,,,,,,,,,
"Mzimba, Malawi",,,,,,,,,,,,,,
"Bīnshangul Gumuz, Ethiopia",,,,,,,,,,,,,,
"Minskaja voblasć, Belarus",,,,,,,,,,,,,,
"Quảng Ngãi, Vietnam",,,,,,,,,,,,,,
"Helmand, Afghanistan",,,,,,,,,,,,,,
"Lambayeque, Peru",,,,,,,,,,,,,,
"North East, Singapore",,,,,,,,,,,,,,
"Montevideo, Uruguay",,,,,,,,,,,,,,
"Gorontalo, Indonesia",,,,,,,,,,,,,,
"Mizoram, India",,,,,,,,,,,,,,
"Vladimirskaya oblast', Russia",,,,,,,,,,,,,,
"Jizzax, Uzbekistan",,,,,,,,,,,,,,
"Utrecht, Netherlands",,,,,,,,,,,,,,
"Bến Tre, Vietnam",,,,,,,,,,,,,,
"Norte de Santander, Colombia",,,,,,,,,,,,,,
"Shymkent, Kazakhstan",,,,,,,,,,,,,,
"Tshuapa, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Blantyre, Malawi",,,,,,,,,,,,,,
"Chiang Rai, Thailand",,,,,,,,,,,,,,
"Ḩamāh, Syria",,,,,,,,,,,,,,
"Kordestān, Iran",,,,,,,,,,,,,,
"Daşoguz, Turkmenistan",,,,,,,,,,,,,,
"Aswān, Egypt",,,,,,,,,,,,,,
"Adamaoua, Cameroon",,,,,,,,,,,,,,
"Atlantique, Benin",,,,,,,,,,,,,,
"Ville de Kigali, Rwanda",,,,,,,,,,,,,,
"Munster, Ireland",,,,,,,,,,,,,,
"Jalal-Abad, Kyrgyzstan",,,,,,,,,,,,,,
"Magdalena, Colombia",,,,,,,,,,,,,,
"Uasin Gishu, Kenya",,,,,,,,,,,,,,
"Nara, Japan",,,,,,,,,,,,,,
"Cà Mau, Vietnam",,,,,,,,,,,,,,
"Bình Phước, Vietnam",,,,,,,,,,,,,,
"Maysān, Iraq",,,,,,,,,,,,,,
"Şan‘ā’, Yemen",,,,,,,,,,,,,,
"Hưng Yên, Vietnam",,,,,,,,,,,,,,
"Abruzzo, Italy",,,,,,,,,,,,,,
"North West, Singapore",,,,,,,,,,,,,,
"Aomori, Japan",,,,,,,,,,,,,,
"Savanes, Togo",,,,,,,,,,,,,,
"Machakos, Kenya",,,,,,,,,,,,,,
"Karnali, Nepal",,,,,,,,,,,,,,
"Cabinda, Angola",,,,,,,,,,,,,,
"Zakarpatska oblast, Ukraine",,,,,,,,,,,,,,
"Steiermark, Austria",,,,,,,,,,,,,,
"Ul'yanovskaya oblast', Russia",,,,,,,,,,,,,,
"Iwate, Japan",,,,,,,,,,,,,,
"Viciebskaja voblasć, Belarus",,,,,,,,,,,,,,
"Tverskaya oblast', Russia",,,,,,,,,,,,,,
"Dayr az Zawr, Syria",,,,,,,,,,,,,,
"Baghlān, Afghanistan",,,,,,,,,,,,,,
"Khmelnytska oblast, Ukraine",,,,,,,,,,,,,,
"Quiché, Guatemala",,,,,,,,,,,,,,
"Lebap, Turkmenistan",,,,,,,,,,,,,,
"Świętokrzyskie, Poland",,,,,,,,,,,,,,
"Lanao del Norte, Philippines",,,,,,,,,,,,,,
"Yaroslavskaya oblast', Russia",,,,,,,,,,,,,,
"Syddanmark, Denmark",,,,,,,,,,,,,,
"Bà Rịa - Vũng Tàu, Vietnam",,,,,,,,,,,,,,
"Bruxelles-Capitale: Région de, Belgium",,,,,,,,,,,,,,
"HaDarom, Israel",,,,,,,,,,,,,,
"An Nīl al Azraq, Sudan",,,,,,,,,,,,,,
"Central, Paraguay",,,,,,,,,,,,,,
"Alibori, Benin",,,,,,,,,,,,,,
"Bình Thuận, Vietnam",,,,,,,,,,,,,,
"Wādī Fīrā’, Chad",,,,,,,,,,,,,,
"Nord-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Friuli Venezia Giulia, Italy",,,,,,,,,,,,,,
"South West, Singapore",,,,,,,,,,,,,,
"Hà Tĩnh, Vietnam",,,,,,,,,,,,,,
"Nord, Haiti",,,,,,,,,,,,,,
"Kahramanmaraş, Turkey",,,,,,,,,,,,,,
"Khánh Hòa, Vietnam",,,,,,,,,,,,,,
"Papua Barat, Indonesia",,,,,,,,,,,,,,
"Viken, Norway",,,,,,,,,,,,,,
"Central Equatoria, South Sudan",,,,,,,,,,,,,,
"Labé, Guinea",,,,,,,,,,,,,,
"El Callao, Peru",,,,,,,,,,,,,,
"San Marcos, Guatemala",,,,,,,,,,,,,,
"Analanjirofo, Madagascar",,,,,,,,,,,,,,
"Zhytomyrska oblast, Ukraine",,,,,,,,,,,,,,
"Táchira, Venezuela",,,,,,,,,,,,,,
"Mangochi, Malawi",,,,,,,,,,,,,,
"Pest, Hungary",,,,,,,,,,,,,,
"Illes Balears, Spain",,,,,,,,,,,,,,
"Bryanskaya oblast', Russia",,,,,,,,,,,,,,
"Kisumu, Kenya",,,,,,,,,,,,,,
"Boeny, Madagascar",,,,,,,,,,,,,,
"Cherkaska oblast, Ukraine",,,,,,,,,,,,,,
"Faranah, Guinea",,,,,,,,,,,,,,
"Buri Ram, Thailand",,,,,,,,,,,,,,
"Quảng Ninh, Vietnam",,,,,,,,,,,,,,
"Podlaskie, Poland",,,,,,,,,,,,,,
"Zamboanga del Sur, Philippines",,,,,,,,,,,,,,
"Chaco, Argentina",,,,,,,,,,,,,,
"Overijssel, Netherlands",,,,,,,,,,,,,,
"Zamboanga del Norte, Philippines",,,,,,,,,,,,,,
"Waddāy, Chad",,,,,,,,,,,,,,
"Chuvashskaya Respublika, Russia",,,,,,,,,,,,,,
"Laḩij, Yemen",,,,,,,,,,,,,,
"Tlemcen, Algeria",,,,,,,,,,,,,,
"Bishkek Shaary, Kyrgyzstan",,,,,,,,,,,,,,
"Haute-Matsiatra, Madagascar",,,,,,,,,,,,,,
"Jihomoravský kraj, Czech Republic",,,,,,,,,,,,,,
"Vĩnh Long, Vietnam",,,,,,,,,,,,,,
"Kirovskaya oblast', Russia",,,,,,,,,,,,,,
"Ouémé, Benin",,,,,,,,,,,,,,
"Kunduz, Afghanistan",,,,,,,,,,,,,,
"Boyacá, Colombia",,,,,,,,,,,,,,
"Maputo (Province), Mozambique",,,,,,,,,,,,,,
"Bas-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Kitui, Kenya",,,,,,,,,,,,,,
"Valdesia, Dominican Republic",,,,,,,,,,,,,,
"Isikawa, Japan",,,,,,,,,,,,,,
"Narok, Kenya",,,,,,,,,,,,,,
"Bangui, Central African Republic",,,,,,,,,,,,,,
"Rivnenska oblast, Ukraine",,,,,,,,,,,,,,
"Osh, Kyrgyzstan",,,,,,,,,,,,,,
"Ôita, Japan",,,,,,,,,,,,,,
"Samut Sakhon, Thailand",,,,,,,,,,,,,,
"Aydin, Turkey",,,,,,,,,,,,,,
"Iringa, Tanzania",,,,,,,,,,,,,,
"Huila, Colombia",,,,,,,,,,,,,,
"Moravskoslezský kraj, Czech Republic",,,,,,,,,,,,,,
"Shabeellaha Dhexe, Somalia",,,,,,,,,,,,,,
"Pool, Congo",,,,,,,,,,,,,,
"Lūghūn ash Sharqī, Chad",,,,,,,,,,,,,,
"Alaotra Mangoro, Madagascar",,,,,,,,,,,,,,
"Tekirdağ, Turkey",,,,,,,,,,,,,,
"Maule, Chile",,,,,,,,,,,,,,
"Siem Reab [Siĕmréab], Cambodia",,,,,,,,,,,,,,
"Lipetskaya oblast', Russia",,,,,,,,,,,,,,
"Western, Zambia",,,,,,,,,,,,,,
"Thái Nguyên, Vietnam",,,,,,,,,,,,,,
"Cesar, Colombia",,,,,,,,,,,,,,
"Homa Bay, Kenya",,,,,,,,,,,,,,
"Mykolaivska oblast, Ukraine",,,,,,,,,,,,,,
"Masbate, Philippines",,,,,,,,,,,,,,
"Saskatchewan, Canada",,0.04045994619541524,,,,0.24765860945952445,0.34199270428427786,0.4103486862561976,,,,0.5818699801664414,0.3110472315133804,0.10708278832017805
"Būshehr, Iran",,,,,,,,,,,,,,
"Tizi Ouzou, Algeria",,,,,,,,,,,,,,
"Kericho, Kenya",,,,,,,,,,,,,,
"Alajuela, Costa Rica",,,,,,,,,,,,,,
"Skikda, Algeria",,,,,,,,,,,,,,
"Đà Nẵng, Vietnam",,,,,,,,,,,,,,
"Bono, Ghana",,,,,,,,,,,,,,
"Ancash, Peru",,,,,,,,,,,,,,
"Upper East, Ghana",,,,,,,,,,,,,,
"Central Singapore, Singapore",,,,,,,,,,,,,,
"Sơn La, Vietnam",,,,,,,,,,,,,,
"Androy, Madagascar",,,,,,,,,,,,,,
"Zhambyl oblysy, Kazakhstan",,,,,,,,,,,,,,
"Saint-Louis, Senegal",,,,,,,,,,,,,,
"Terengganu, Malaysia",,,,,,,,,,,,,,
"Corrientes, Argentina",,,,,,,,,,,,,,
"Trans Nzoia, Kenya",,,,,,,,,,,,,,
"Qazvīn, Iran",,,,,,,,,,,,,,
"Bắc Ninh, Vietnam",,,,,,,,,,,,,,
"Turkana, Kenya",,,,,,,,,,,,,,
"'Adan, Yemen",,,,,,,,,,,,,,
"Ryazanskaya oblast', Russia",,,,,,,,,,,,,,
"Limburg, Netherlands",,,,,,,,,,,,,,
"Tiaret, Algeria",,,,,,,,,,,,,,
"Zabaykal'skiy kray, Russia",,,,,,,,,,,,,,
"Migori, Kenya",,,,,,,,,,,,,,
"Miyazaki, Japan",,,,,,,,,,,,,,
"Loreto, Peru",,,,,,,,,,,,,,
"Vologodskaya oblast', Russia",,,,,,,,,,,,,,
"Yamagata, Japan",,,,,,,,,,,,,,
"Rhode Island, USA",0.11258375785530707,,0.34958626113270214,0.2879797992341252,0.36243393963317255,,,,0.6321712381125839,0.25633681139252196,0.11149195049489408,,,
"Constantine, Algeria",,,,,,,,,,,,,,
"Sava, Madagascar",,,,,,,,,,,,,,
"Māyū Kībbī ash Sharqī, Chad",,,,,,,,,,,,,,
"Ḩawallī, Kuwait",,,,,,,,,,,,,,
"Bono East, Ghana",,,,,,,,,,,,,,
"Şā‘dah, Yemen",,,,,,,,,,,,,,
"Thừa Thiên-Huế, Vietnam",,,,,,,,,,,,,,
"Montana, USA",0.12485664157736234,,0.4137751700532259,0.32173909059042466,0.26448573935634945,,,,0.6993220812587542,0.21845229778968395,0.08222562095156193,,,
"Kurskaya oblast', Russia",,,,,,,,,,,,,,
"La Guajira, Colombia",,,,,,,,,,,,,,
"Uíge, Angola",,,,,,,,,,,,,,
"Makueni, Kenya",,,,,,,,,,,,,,
"La Araucanía, Chile",,,,,,,,,,,,,,
"Louga, Senegal",,,,,,,,,,,,,,
"Diana, Madagascar",,,,,,,,,,,,,,
"Denizli, Turkey",,,,,,,,,,,,,,
"Negeri Sembilan, Malaysia",,,,,,,,,,,,,,
"Sfax, Tunisia",,,,,,,,,,,,,,
"Los Lagos, Chile",,,,,,,,,,,,,,
"Republika Srpska, Bosnia and Herzegovina",,,,,,,,,,,,,,
"Viangchan, Laos",,,,,,,,,,,,,,
"Santiago de Cuba, Cuba",,,,,,,,,,,,,,
"Sakarya, Turkey",,,,,,,,,,,,,,
"Qom, Iran",,,,,,,,,,,,,,
"Mahilioŭskaja voblasć, Belarus",,,,,,,,,,,,,,
"Ulsan-gwangyeoksi, South Korea",,,,,,,,,,,,,,
"Arkhangel'skaya oblast', Russia",,,,,,,,,,,,,,
"Sultan Kudarat, Philippines",,,,,,,,,,,,,,
"Al Lādhiqīyah, Syria",,,,,,,,,,,,,,
"Kaolack, Senegal",,,,,,,,,,,,,,
"Ghōr, Afghanistan",,,,,,,,,,,,,,
"Maguindanao, Philippines",,,,,,,,,,,,,,
"Sumska oblast, Ukraine",,,,,,,,,,,,,,
"Hrodzienskaja voblasć, Belarus",,,,,,,,,,,,,,
"Zanzan, Ivory Coast",,,,,,,,,,,,,,
"Savannakhét, Laos",,,,,,,,,,,,,,
"Muğla, Turkey",,,,,,,,,,,,,,
"Toyama, Japan",,,,,,,,,,,,,,
"Ternopilska oblast, Ukraine",,,,,,,,,,,,,,
"Kaluzhskaya oblast', Russia",,,,,,,,,,,,,,
"Khōst, Afghanistan",,,,,,,,,,,,,,
"Trentino-Alto Adige, Italy",,,,,,,,,,,,,,
"Holguín, Cuba",,,,,,,,,,,,,,
"Thessalía, Greece",,,,,,,,,,,,,,
"Lindi, Tanzania",,,,,,,,,,,,,,
"Roi Et, Thailand",,,,,,,,,,,,,,
"Tambovskaya oblast', Russia",,,,,,,,,,,,,,
"Murang'a, Kenya",,,,,,,,,,,,,,
"Lubuskie, Poland",,,,,,,,,,,,,,
"Udon Thani, Thailand",,,,,,,,,,,,,,
"Khersonska oblast, Ukraine",,,,,,,,,,,,,,
"Astrakhanskaya oblast', Russia",,,,,,,,,,,,,,
"Gilgit-Baltistan, Pakistan",,,,,,,,,,,,,,
"Muyinga, Burundi",,,,,,,,,,,,,,
"Darٰā, Syria",,,,,,,,,,,,,,
"Monagas, Venezuela",,,,,,,,,,,,,,
"Bay, Somalia",,,,,,,,,,,,,,
"Chahār Maḩāl va Bakhtīārī, Iran",,,,,,,,,,,,,,
"Surat Thani, Thailand",,,,,,,,,,,,,,
"Lunda-Norte, Angola",,,,,,,,,,,,,,
"Woroba, Ivory Coast",,,,,,,,,,,,,,
"Estuaire, Gabon",,,,,,,,,,,,,,
"Fatick, Senegal",,,,,,,,,,,,,,
"Upper Nile, South Sudan",,,,,,,,,,,,,,
"Tombouctou, Mali",,,,,,,,,,,,,,
"Phú Thọ, Vietnam",,,,,,,,,,,,,,
"Bern, Switzerland",,,,,,,,,,,,,,
"Tomskaya oblast', Russia",,,,,,,,,,,,,,
"Ar Rayyān, Qatar",,,,,,,,,,,,,,
"Cascades, Burkina Faso",,,,,,,,,,,,,,
"Mostaganem, Algeria",,,,,,,,,,,,,,
"Nandi, Kenya",,,,,,,,,,,,,,
"Asturias, Principado de, Spain",,,,,,,,,,,,,,
"Volynska oblast, Ukraine",,,,,,,,,,,,,,
"Chandigarh, India",,,,,,,,,,,,,,
"Mindoro Oriental, Philippines",,,,,,,,,,,,,,
"Nakhon Pathom, Thailand",,,,,,,,,,,,,,
"Lop Buri, Thailand",,,,,,,,,,,,,,
"Yerushalayim, Israel",,,,,,,,,,,,,,
"Uturu paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Bujumbura Mairie, Burundi",,,,,,,,,,,,,,
"Gitega, Burundi",,,,,,,,,,,,,,
"Zou, Benin",,,,,,,,,,,,,,
"Aşgabat, Turkmenistan",,,,,,,,,,,,,,
"Béjaïa, Algeria",,,,,,,,,,,,,,
"Otdar Mean Chey [Ŏtdâr Méan Choăy], Cambodia",,,,,,,,,,,,,,
"Kaliningradskaya oblast', Russia",,,,,,,,,,,,,,
"Libertador General Bernardo O'Higgins, Chile",,,,,,,,,,,,,,
"Saarland, Germany",,,,,,,,,,,,,,
"Santiago del Estero, Argentina",,,,,,,,,,,,,,
"Al Balqā’, Jordan",,,,,,,,,,,,,,
"Tabūk, Saudi Arabia",,,,,,,,,,,,,,
"Delaware, USA",0.11436085146079719,,0.34077792423633124,0.3135720133240754,0.34565006243959334,,,,0.6270107825449406,0.25816615046601327,0.11482306698904612,,,
"Akita, Japan",,,,,,,,,,,,,,
"Biskra, Algeria",,,,,,,,,,,,,,
"South East, Singapore",,,,,,,,,,,,,,
"East, Cameroon",,,,,,,,,,,,,,
"Baja California Sur, Mexico",,,,,,,,,,,,,,
"Lima, Peru",,,,,,,,,,,,,,
"Aïn Defla, Algeria",,,,,,,,,,,,,,
"L'Ariana, Tunisia",,,,,,,,,,,,,,
"Tiranë, Albania",,,,,,,,,,,,,,
"Yazd, Iran",,,,,,,,,,,,,,
"Siaya, Kenya",,,,,,,,,,,,,,
"Extremadura, Spain",,,,,,,,,,,,,,
"Kara, Togo",,,,,,,,,,,,,,
"Kagawa, Japan",,,,,,,,,,,,,,
"Muchinga, Zambia",,,,,,,,,,,,,,
"Kirundo, Burundi",,,,,,,,,,,,,,
"Falcón, Venezuela",,,,,,,,,,,,,,
"Nova Scotia, Canada",,0.04685598920943963,,,,0.31742724435731096,0.35969818431346984,0.3228745713292193,,,,0.6501709487435757,0.2782918996314646,0.0715371516249598
"Ivanovskaya oblast', Russia",,,,,,,,,,,,,,
"Campeche, Mexico",,,,,,,,,,,,,,
"Phitsanulok, Thailand",,,,,,,,,,,,,,
"Western, The Gambia",,,,,,,,,,,,,,
"Buryatiya, Respublika, Russia",,,,,,,,,,,,,,
"Ninh Bình, Vietnam",,,,,,,,,,,,,,
"Réunion, France",,,,,,,,,,,,,,
"Nay Pyi Taw, Myanmar",,,,,,,,,,,,,,
"Sucre, Venezuela",,,,,,,,,,,,,,
"Mascara, Algeria",,,,,,,,,,,,,,
"Opolskie, Poland",,,,,,,,,,,,,,
"Centre-Sud, Burkina Faso",,,,,,,,,,,,,,
"Ash Shamālīyah, Sudan",,,,,,,,,,,,,,
"Zomba, Malawi",,,,,,,,,,,,,,
"Ad Dawḩah, Qatar",,,,,,,,,,,,,,
"H̱efa, Israel",,,,,,,,,,,,,,
"Al Jafārah, Libya",,,,,,,,,,,,,,
"Trà Vinh, Vietnam",,,,,,,,,,,,,,
"Likouala, Congo",,,,,,,,,,,,,,
"Sakon Nakhon, Thailand",,,,,,,,,,,,,,
"Vĩnh Phúc, Vietnam",,,,,,,,,,,,,,
"Eskişehir, Turkey",,,,,,,,,,,,,,
"Quetzaltenango, Guatemala",,,,,,,,,,,,,,
"Los Ríos, Ecuador",,,,,,,,,,,,,,
"Melaka, Malaysia",,,,,,,,,,,,,,
"San Martín, Peru",,,,,,,,,,,,,,
"Smolenskaya oblast', Russia",,,,,,,,,,,,,,
"Potosí, Bolivia",,,,,,,,,,,,,,
"Banghāzī, Libya",,,,,,,,,,,,,,
"Thyolo, Malawi",,,,,,,,,,,,,,
"Sakha, Respublika, Russia",,,,,,,,,,,,,,
"Plateau Central, Burkina Faso",,,,,,,,,,,,,,
"Nord-Ouest, Haiti",,,,,,,,,,,,,,
"Kasungu, Malawi",,,,,,,,,,,,,,
"Risaralda, Colombia",,,,,,,,,,,,,,
"Zambales, Philippines",,,,,,,,,,,,,,
"Kayanza, Burundi",,,,,,,,,,,,,,
"Dedza, Malawi",,,,,,,,,,,,,,
"Mordoviya, Respublika, Russia",,,,,,,,,,,,,,
"Mubende, Uganda",,,,,,,,,,,,,,
"North-Western, Zambia",,,,,,,,,,,,,,
"Lūghūn al Gharbī, Chad",,,,,,,,,,,,,,
"Navoiy, Uzbekistan",,,,,,,,,,,,,,
"Al Muthanná, Iraq",,,,,,,,,,,,,,
"Benguet, Philippines",,,,,,,,,,,,,,
"Al Bayḑā’, Yemen",,,,,,,,,,,,,,
"Rayong, Thailand",,,,,,,,,,,,,,
"Al Farwānīyah, Kuwait",,,,,,,,,,,,,,
"Toshkent (City), Uzbekistan",,,,,,,,,,,,,,
"Suphan Buri, Thailand",,,,,,,,,,,,,,
"Janūb Kurdufān, Sudan",,,,,,,,,,,,,,
"Zaire, Angola",,,,,,,,,,,,,,
"Barinas, Venezuela",,,,,,,,,,,,,,
"Qāsh-Barkah, Eritrea",,,,,,,,,,,,,,
"Bạc Liêu, Vietnam",,,,,,,,,,,,,,
"Matebeleland North, Zimbabwe",,,,,,,,,,,,,,
"Kirovohradska oblast, Ukraine",,,,,,,,,,,,,,
"Setúbal, Portugal",,,,,,,,,,,,,,
"Meta, Colombia",,,,,,,,,,,,,,
"Al ‘Āşimah, Kuwait",,,,,,,,,,,,,,
"Atacora, Benin",,,,,,,,,,,,,,
"Tbong Khmum [Tbong Khmŭm], Cambodia",,,,,,,,,,,,,,
"Khorāsān-e Shomālī, Iran",,,,,,,,,,,,,,
"Menabe, Madagascar",,,,,,,,,,,,,,
"Portuguesa, Venezuela",,,,,,,,,,,,,,
"Relizane, Algeria",,,,,,,,,,,,,,
"Médéa, Algeria",,,,,,,,,,,,,,
"Busia, Kenya",,,,,,,,,,,,,,
"Zanjān, Iran",,,,,,,,,,,,,,
"Nakhon Sawan, Thailand",,,,,,,,,,,,,,
"Bādghīs, Afghanistan",,,,,,,,,,,,,,
"Phú Yên, Vietnam",,,,,,,,,,,,,,
"Caldas, Colombia",,,,,,,,,,,,,,
"Umbria, Italy",,,,,,,,,,,,,,
"Kwale, Kenya",,,,,,,,,,,,,,
"South, Cameroon",,,,,,,,,,,,,,
"Acre, Brazil",,,,,,,,,,,,,,
"Kalasin, Thailand",,,,,,,,,,,,,,
"Māndūl, Chad",,,,,,,,,,,,,,
"Azuay, Ecuador",,,,,,,,,,,,,,
"Sorsogon, Philippines",,,,,,,,,,,,,,
"Hà Nam, Vietnam",,,,,,,,,,,,,,
"Ouargla, Algeria",,,,,,,,,,,,,,
"Aqtöbe oblysy, Kazakhstan",,,,,,,,,,,,,,
"South Dakota, USA",0.12458288158935708,,0.39081899132104164,0.3341990115073531,0.2749819971716053,,,,0.6882053793238958,0.23532943563416125,0.07646518504194286,,,
"Mjini Magharibi, Tanzania",,,,,,,,,,,,,,
"Sud-Ouest, Burkina Faso",,,,,,,,,,,,,,
"Bomet, Kenya",,,,,,,,,,,,,,
"Surin, Thailand",,,,,,,,,,,,,,
"Mardin, Turkey",,,,,,,,,,,,,,
"Aqmola oblysy, Kazakhstan",,,,,,,,,,,,,,
"Wakayama, Japan",,,,,,,,,,,,,,
"Diffa, Niger",,,,,,,,,,,,,,
"Quảng Bình, Vietnam",,,,,,,,,,,,,,
"Parwān, Afghanistan",,,,,,,,,,,,,,
"Samar, Philippines",,,,,,,,,,,,,,
"Huánuco, Peru",,,,,,,,,,,,,,
"Amapá, Brazil",,,,,,,,,,,,,,
"Prey Veaeng [Prey Vêng], Cambodia",,,,,,,,,,,,,,
"Ngozi, Burundi",,,,,,,,,,,,,,
"Jubbada Hoose, Somalia",,,,,,,,,,,,,,
"Njombe, Tanzania",,,,,,,,,,,,,,
"Tambacounda, Senegal",,,,,,,,,,,,,,
"Coquimbo, Chile",,,,,,,,,,,,,,
"Zamboanga City, Philippines",,,,,,,,,,,,,,
"Al ‘Āşimah, Bahrain",,,,,,,,,,,,,,
"Shimālī al Baḩrī al Aḩmar, Eritrea",,,,,,,,,,,,,,
"Nabeul, Tunisia",,,,,,,,,,,,,,
"Kasese, Uganda",,,,,,,,,,,,,,
"Centrale, Togo",,,,,,,,,,,,,,
"Centre, Haiti",,,,,,,,,,,,,,
"Ar Raqqah, Syria",,,,,,,,,,,,,,
"Bouira, Algeria",,,,,,,,,,,,,,
"Alto Paraná, Paraguay",,,,,,,,,,,,,,
"Tānjīlī, Chad",,,,,,,,,,,,,,
"Phra Nakhon Si Ayutthaya, Thailand",,,,,,,,,,,,,,
"La Union, Philippines",,,,,,,,,,,,,,
"Si sa ket, Thailand",,,,,,,,,,,,,,
"Champasak, Laos",,,,,,,,,,,,,,
"Mila, Algeria",,,,,,,,,,,,,,
"Sucre, Colombia",,,,,,,,,,,,,,
"Jijel, Algeria",,,,,,,,,,,,,,
"Kabardino-Balkarskaya Respublika, Russia",,,,,,,,,,,,,,
"Sud, Haiti",,,,,,,,,,,,,,
"Taakaev [Takêv], Cambodia",,,,,,,,,,,,,,
"Qostanay oblysy, Kazakhstan",,,,,,,,,,,,,,
"Granma, Cuba",,,,,,,,,,,,,,
"Petén, Guatemala",,,,,,,,,,,,,,
"Davao de Oro, Philippines",,,,,,,,,,,,,,
"Vilniaus apskritis, Lithuania",,,,,,,,,,,,,,
"Mamou, Guinea",,,,,,,,,,,,,,
"Prešovský kraj, Slovakia",,,,,,,,,,,,,,
