longname
"Qualicum Beach Town, Nanaimo Regional district, British Columbia, Canada"
"Smiths Falls Town, Lanark County, Ontario, Canada"
"Olds Town, Division No. 6, Alberta, Canada"
"Comox Valley C (Puntledge - Black Creek) Regional District Electoral Area, Comox Valley Regional district, British Columbia, Canada"
"Tsinstikeptum 9 Indian Reserve, Central Okanagan Regional district, British Columbia, Canada"
"Minto Town, Wellington County, Ontario, Canada"
"Oromocto Town, Sunbury County, New Brunswick, Canada"
"West Perth Municipality, Perth County, Ontario, Canada"
"Beckwith Township, Lanark County, Ontario, Canada"
"Cowichan Valley B Regional District Electoral Area, Cowichan Valley Regional district, British Columbia, Canada"
"Shelburne Town, Dufferin County, Ontario, Canada"
"Ladysmith Town, Cowichan Valley Regional district, British Columbia, Canada"
"Stanley Rural Municipality, Division No. 3, Manitoba, Canada"
"Antigonish, Subd. A Subdivision of County Municipality, Antigonish County, Nova Scotia, Canada"
"Saint-Rémi Ville, Les Jardins-de-Napierville CRM, Quebec, Canada"
"South Bruce Peninsula Town, Bruce County, Ontario, Canada"
"Columbia-Shuswap C Regional District Electoral Area, Columbia-Shuswap Regional district, British Columbia, Canada"
"Corman Park No. 344 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"L'Épiphanie Ville, L'Assomption CRM, Quebec, Canada"
"Coaticook Ville, Coaticook CRM, Quebec, Canada"
"Taber Town, Division No. 2, Alberta, Canada"
"Bridgewater Town, Lunenburg County, Nova Scotia, Canada"
"Coaldale Town, Division No. 2, Alberta, Canada"
"Wheatland County Municipal District, Division No. 5, Alberta, Canada"
"Southgate Township, Grey County, Ontario, Canada"
"Champlain Township, Prescott and Russell United counties, Ontario, Canada"
"La Pêche Municipalité, Les Collines-de-l'Outaouais CRM, Quebec, Canada"
"Zorra Township, Oxford County, Ontario, Canada"
"Nicolet Ville, Nicolet-Yamaska CRM, Quebec, Canada"
"Greenview No. 16 Municipal District, Division No. 18, Alberta, Canada"
"Camrose County Municipal District, Division No. 10, Alberta, Canada"
"Otterburn Park Ville, La Vallée-du-Richelieu CRM, Quebec, Canada"
"Sainte-Brigitte-de-Laval Ville, La Jacques-Cartier CRM, Quebec, Canada"
"Sainte-Catherine-de-la-Jacques-Cartier Ville, La Jacques-Cartier CRM, Quebec, Canada"
"Rockwood Rural Municipality, Division No. 14, Manitoba, Canada"
"Portugal Cove-St. Philip's Town, Division No. 1, Newfoundland and Labrador, Canada"
"Pictou, Subd. C Subdivision of County Municipality, Pictou County, Nova Scotia, Canada"
"Edson Town, Division No. 14, Alberta, Canada"
"Dauphin City, Division No. 17, Manitoba, Canada"
"Kings, Subd. C Subdivision of County Municipality, Kings County, Nova Scotia, Canada"
"Castlegar City, Central Kootenay Regional district, British Columbia, Canada"
"Delson Ville, Roussillon CRM, Quebec, Canada"
"Plympton-Wyoming Town, Lambton County, Ontario, Canada"
"Banff Town, Division No. 15, Alberta, Canada"
"Revelstoke City, Columbia-Shuswap Regional district, British Columbia, Canada"
"Kitimat District Municipality, Kitimat-Stikine Regional district, British Columbia, Canada"
"La Malbaie Ville, Charlevoix-Est CRM, Quebec, Canada"
"Boischatel Municipalité, La Côte-de-Beaupré CRM, Quebec, Canada"
"Nanaimo F Regional District Electoral Area, Nanaimo Regional district, British Columbia, Canada"
"Renfrew Town, Renfrew County, Ontario, Canada"
"Drummond/North Elmsley Township, Lanark County, Ontario, Canada"
"Lac-Beauport Municipalité, La Jacques-Cartier CRM, Quebec, Canada"
"Macdonald Rural Municipality, Division No. 10, Manitoba, Canada"
"Kimberley City, East Kootenay Regional district, British Columbia, Canada"
"Nanaimo G Regional District Electoral Area, Nanaimo Regional district, British Columbia, Canada"
"Kapuskasing Town, Cochrane District, Ontario, Canada"
"Happy Valley-Goose Bay Town, Division No. 10, Newfoundland and Labrador, Canada"
"Chelsea Municipalité, Les Collines-de-l'Outaouais CRM, Quebec, Canada"
"Vermilion River County Municipal District, Division No. 10, Alberta, Canada"
"Innisfail Town, Division No. 8, Alberta, Canada"
"Saint-Apollinaire Municipalité, Lotbinière CRM, Quebec, Canada"
"Hanover Town, Grey County, Ontario, Canada"
"Puslinch Township, Wellington County, Ontario, Canada"
"Comox Valley A Regional District Electoral Area, Comox Valley Regional district, British Columbia, Canada"
"Trail City, Kootenay Boundary Regional district, British Columbia, Canada"
"Drumheller Town, Division No. 5, Alberta, Canada"
"Three Rivers Town, Kings County, Prince Edward Island, Canada"
"Goderich Town, Huron County, Ontario, Canada"
"Rigaud Ville, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Torbay Town, Division No. 1, Newfoundland and Labrador, Canada"
"East Zorra-Tavistock Township, Oxford County, Ontario, Canada"
"Stone Mills Township, Lennox and Addington County, Ontario, Canada"
"Central Huron Municipality, Huron County, Ontario, Canada"
"Kirkland Lake Town, Timiskaming District, Ontario, Canada"
"Huron-Kinloss Township, Bruce County, Ontario, Canada"
"Aylmer Town, Elgin County, Ontario, Canada"
"Clare Municipal District, Digby County, Nova Scotia, Canada"
"Lac la Biche County Specialized Municipality, Division No. 12, Alberta, Canada"
"Argyle Municipal District, Yarmouth County, Nova Scotia, Canada"
"Muskoka Lakes Township, Muskoka District municipality, Ontario, Canada"
"Douro-Dummer Township, Peterborough County, Ontario, Canada"
"Acton Vale Ville, Acton CRM, Quebec, Canada"
"Saint-Philippe Ville, Roussillon CRM, Quebec, Canada"
"McNab/Braeside Township, Renfrew County, Ontario, Canada"
"South-West Oxford Township, Oxford County, Ontario, Canada"
"Blandford-Blenheim Township, Oxford County, Ontario, Canada"
"Bluewater Municipality, Huron County, Ontario, Canada"
"Shediac Town, Westmorland County, New Brunswick, Canada"
"Cypress County Municipal District, Division No. 1, Alberta, Canada"
"Lincoln Parish, Sunbury County, New Brunswick, Canada"
"Edwardsburgh/Cardinal Township, Leeds and Grenville United counties, Ontario, Canada"
"Chandler Ville, Le Rocher-Percé CRM, Quebec, Canada"
"Nanaimo A Regional District Electoral Area, Nanaimo Regional district, British Columbia, Canada"
"Kenora, Unorganized Unorganized, Kenora District, Ontario, Canada"
"Alnwick/Haldimand Township, Northumberland County, Ontario, Canada"
"Coteau-du-Lac Ville, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Ritchot Rural Municipality, Division No. 2, Manitoba, Canada"
"Fort Frances Town, Rainy River District, Ontario, Canada"
"Newell County Municipal District, Division No. 2, Alberta, Canada"
"Taber Municipal District, Division No. 2, Alberta, Canada"
"Donnacona Ville, Portneuf CRM, Quebec, Canada"
"Iqaluit City, Qikiqtaaluk Region, Nunavut, Canada"
"Labrador City Town, Division No. 10, Newfoundland and Labrador, Canada"
"North Stormont Township, Stormont, Dundas and Glengarry United counties, Ontario, Canada"
"Comox Valley B (Lazo North) Regional District Electoral Area, Comox Valley Regional district, British Columbia, Canada"
"Dryden City, Kenora District, Ontario, Canada"
"Augusta Township, Leeds and Grenville United counties, Ontario, Canada"
"St. Marys Town, Perth County, Ontario, Canada"
"Baie-Saint-Paul Ville, Charlevoix CRM, Quebec, Canada"
"La Sarre Ville, Abitibi-Ouest CRM, Quebec, Canada"
"Louiseville Ville, Maskinongé CRM, Quebec, Canada"
"Ponoka Town, Division No. 8, Alberta, Canada"
"Drayton Valley Town, Division No. 11, Alberta, Canada"
"Shefford Canton, La Haute-Yamaska CRM, Quebec, Canada"
"Brownsburg-Chatham Ville, Argenteuil CRM, Quebec, Canada"
"Digby Municipal District, Digby County, Nova Scotia, Canada"
"Chibougamau Ville, Nord-du-Québec CDR, Quebec, Canada"
"Whitewater Region Township, Renfrew County, Ontario, Canada"
"Westlock County Municipal District, Division No. 13, Alberta, Canada"
"Les Cèdres Municipalité, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Dysart et al Municipality, Haliburton County, Ontario, Canada"
"Brazeau County Municipal District, Division No. 11, Alberta, Canada"
"Bayham Municipality, Elgin County, Ontario, Canada"
"Val-des-Sources Ville, Les Sources CRM, Quebec, Canada"
"Otonabee-South Monaghan Township, Peterborough County, Ontario, Canada"
"Chatsworth Township, Grey County, Ontario, Canada"
"Merritt City, Thompson-Nicola Regional district, British Columbia, Canada"
"Campbellton City, Restigouche County, New Brunswick, Canada"
"Hampstead Ville, Montréal Territory, Quebec, Canada"
"Saint-Joseph-du-Lac Municipalité, Deux-Montagnes CRM, Quebec, Canada"
"Saint-Félix-de-Valois Municipalité, Matawinie CRM, Quebec, Canada"
"Minden Hills Township, Haliburton County, Ontario, Canada"
"Athabasca County Municipal District, Division No. 13, Alberta, Canada"
"Arran-Elderslie Municipality, Bruce County, Ontario, Canada"
"Portage la Prairie Rural Municipality, Division No. 9, Manitoba, Canada"
"Wainfleet Township, Niagara Regional municipality, Ontario, Canada"
"Parry Sound Town, Parry Sound District, Ontario, Canada"
"Slave Lake Town, Division No. 17, Alberta, Canada"
"Yarmouth Town, Yarmouth County, Nova Scotia, Canada"
"Saint-Lambert-de-Lauzon Municipalité, La Nouvelle-Beauce CRM, Quebec, Canada"
"Saint-Calixte Municipalité, Montcalm CRM, Quebec, Canada"
"Cumberland, Subd. B Subdivision of County Municipality, Cumberland County, Nova Scotia, Canada"
"Nanaimo E Regional District Electoral Area, Nanaimo Regional district, British Columbia, Canada"
"Rocky Mountain House Town, Division No. 9, Alberta, Canada"
"La Broquerie Rural Municipality, Division No. 2, Manitoba, Canada"
"Beaubassin East / Beaubassin-est Rural Community, Westmorland County, New Brunswick, Canada"
"Clarenville Town, Division No. 7, Newfoundland and Labrador, Canada"
"Hope District Municipality, Fraser Valley Regional district, British Columbia, Canada"
"West St. Paul Rural Municipality, Division No. 13, Manitoba, Canada"
"Kentville Town, Kings County, Nova Scotia, Canada"
"Peace River Town, Division No. 19, Alberta, Canada"
"Wainwright Town, Division No. 7, Alberta, Canada"
"Cornwall Town, Queens County, Prince Edward Island, Canada"
"Gimli Rural Municipality, Division No. 18, Manitoba, Canada"
"Saint-Paul Municipalité, Joliette CRM, Quebec, Canada"
"Devon Town, Division No. 11, Alberta, Canada"
"Stephenville Town, Division No. 4, Newfoundland and Labrador, Canada"
"East Kootenay C Regional District Electoral Area, East Kootenay Regional district, British Columbia, Canada"
"Port-Cartier Ville, Sept-Rivières--Caniapiscau CDR, Quebec, Canada"
"Cramahe Township, Northumberland County, Ontario, Canada"
"Perth Town, Lanark County, Ontario, Canada"
"Trent Lakes Municipality, Peterborough County, Ontario, Canada"
"Shannon Ville, La Jacques-Cartier CRM, Quebec, Canada"
"Plessisville Ville, L'Érable CRM, Quebec, Canada"
"Bonnyville Town, Division No. 12, Alberta, Canada"
"Mont-Joli Ville, La Mitis CRM, Quebec, Canada"
"Saint-Honoré Ville, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Fernie City, East Kootenay Regional district, British Columbia, Canada"
"North Middlesex Municipality, Middlesex County, Ontario, Canada"
"St. Paul County No. 19 Municipal District, Division No. 12, Alberta, Canada"
"Charlemagne Ville, L'Assomption CRM, Quebec, Canada"
"Kent District Municipality, Fraser Valley Regional district, British Columbia, Canada"
"Pointe-Calumet Municipalité, Deux-Montagnes CRM, Quebec, Canada"
"Barrington Municipal District, Shelburne County, Nova Scotia, Canada"
"Beresford Parish, Gloucester County, New Brunswick, Canada"
"Princeville Ville, L'Érable CRM, Quebec, Canada"
"Thunder Bay, Unorganized Unorganized, Thunder Bay District, Ontario, Canada"
"Beauceville Ville, Robert-Cliche CRM, Quebec, Canada"
"Cariboo A Regional District Electoral Area, Cariboo Regional district, British Columbia, Canada"
"Pictou, Subd. A Subdivision of County Municipality, Pictou County, Nova Scotia, Canada"
"Pontiac Municipalité, Les Collines-de-l'Outaouais CRM, Quebec, Canada"
"Antigonish, Subd. B Subdivision of County Municipality, Antigonish County, Nova Scotia, Canada"
"Pictou, Subd. B Subdivision of County Municipality, Pictou County, Nova Scotia, Canada"
"Notre-Dame-du-Mont-Carmel Paroisse, Francheville CDR, Quebec, Canada"
"Sainte-Anne-des-Monts Ville, La Haute-Gaspésie CRM, Quebec, Canada"
"L'Ange-Gardien Municipalité, Les Collines-de-l'Outaouais CRM, Quebec, Canada"
"Sackville Town, Westmorland County, New Brunswick, Canada"
"Willow Creek No. 26 Municipal District, Division No. 3, Alberta, Canada"
"Tweed Municipality, Hastings County, Ontario, Canada"
"Oliver Paipoonge Municipality, Thunder Bay District, Ontario, Canada"
"Humboldt City, Division No. 15, Saskatchewan, Canada"
"Algoma, Unorganized, North Part Unorganized, Algoma District, Ontario, Canada"
"Petrolia Town, Lambton County, Ontario, Canada"
"Amqui Ville, La Matapédia CRM, Quebec, Canada"
"Annapolis, Subd. A Subdivision of County Municipality, Annapolis County, Nova Scotia, Canada"
"Bay Roberts Town, Division No. 1, Newfoundland and Labrador, Canada"
"Saint-Césaire Ville, Rouville CRM, Quebec, Canada"
"Melfort City, Division No. 14, Saskatchewan, Canada"
"Niverville Town, Division No. 2, Manitoba, Canada"
"Peace River C Regional District Electoral Area, Peace River Regional district, British Columbia, Canada"
"McMasterville Municipalité, La Vallée-du-Richelieu CRM, Quebec, Canada"
"Douglas Parish, York County, New Brunswick, Canada"
"Tay Valley Township, Lanark County, Ontario, Canada"
"Lac-Brome Ville, Brome-Missisquoi CRM, Quebec, Canada"
"Southwest Middlesex Municipality, Middlesex County, Ontario, Canada"
"Ashfield-Colborne-Wawanosh Township, Huron County, Ontario, Canada"
"South Bruce Municipality, Bruce County, Ontario, Canada"
"Barrhead County No. 11 Municipal District, Division No. 13, Alberta, Canada"
"Beaver County Municipal District, Division No. 10, Alberta, Canada"
"St. Paul Town, Division No. 12, Alberta, Canada"
"Southern Gulf Islands Regional District Electoral Area, Capital Regional district, British Columbia, Canada"
"Saint-Pie Ville, Les Maskoutains CRM, Quebec, Canada"
"Sioux Lookout Municipality, Kenora District, Ontario, Canada"
"Rhineland Municipality, Division No. 3, Manitoba, Canada"
"Saint-Henri Municipalité, Bellechasse CRM, Quebec, Canada"
"Peachland District Municipality, Central Okanagan Regional district, British Columbia, Canada"
"Verchères Municipalité, Marguerite-D'Youville CRM, Quebec, Canada"
"Lac-Mégantic Ville, Le Granit CRM, Quebec, Canada"
"Richelieu Ville, Rouville CRM, Quebec, Canada"
"Lanark Highlands Township, Lanark County, Ontario, Canada"
"Crowsnest Pass Specialized Municipality, Division No. 15, Alberta, Canada"
"Stettler Town, Division No. 7, Alberta, Canada"
"Cumberland, Subd. C Subdivision of County Municipality, Cumberland County, Nova Scotia, Canada"
"Vegreville Town, Division No. 10, Alberta, Canada"
"Neepawa Town, Division No. 15, Manitoba, Canada"
"Lucan Biddulph Township, Middlesex County, Ontario, Canada"
"Stettler County No. 6 Municipal District, Division No. 7, Alberta, Canada"
"Sainte-Martine Municipalité, Beauharnois-Salaberry CRM, Quebec, Canada"
"Les Coteaux Municipalité, Vaudreuil-Soulanges CRM, Quebec, Canada"
"The Pas Town, Division No. 21, Manitoba, Canada"
"Bulkley-Nechako A Regional District Electoral Area, Bulkley-Nechako Regional district, British Columbia, Canada"
"Ste. Anne Rural Municipality, Division No. 2, Manitoba, Canada"
"Creston Town, Central Kootenay Regional district, British Columbia, Canada"
"Redcliff Town, Division No. 1, Alberta, Canada"
"Val-David Village, Les Laurentides CRM, Quebec, Canada"
"Osoyoos Town, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Woodstock Town, Carleton County, New Brunswick, Canada"
"Saint-Roch-de-l'Achigan Municipalité, Montcalm CRM, Quebec, Canada"
"Brokenhead Rural Municipality, Division No. 12, Manitoba, Canada"
"Hudson Ville, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Cochrane Town, Cochrane District, Ontario, Canada"
