longname,Silent %,Silent % [StatCan],Boomer %,Boomer % [StatCan],Gen X %,Gen X % [StatCan],Millennial %,Millennial % [StatCan],Gen Z %,Gen Z % [StatCan],Gen Alpha %,Gen Alpha % [StatCan]
"Tshuapa, Democratic Republic of the Congo",,,,,,,,,,,,
"Blantyre, Malawi",,,,,,,,,,,,
"Chiang Rai, Thailand",,,,,,,,,,,,
"Ḩamāh, Syria",,,,,,,,,,,,
"Kordestān, Iran",,,,,,,,,,,,
"Daşoguz, Turkmenistan",,,,,,,,,,,,
"Aswān, Egypt",,,,,,,,,,,,
"Adamaoua, Cameroon",,,,,,,,,,,,
"Atlantique, Benin",,,,,,,,,,,,
"Ville de Kigali, Rwanda",,,,,,,,,,,,
"Munster, Ireland",,,,,,,,,,,,
"Jalal-Abad, Kyrgyzstan",,,,,,,,,,,,
"Magdalena, Colombia",,,,,,,,,,,,
"Uasin Gishu, Kenya",,,,,,,,,,,,
"Nara, Japan",,,,,,,,,,,,
"Cà Mau, Vietnam",,,,,,,,,,,,
"Bình Phước, Vietnam",,,,,,,,,,,,
"Maysān, Iraq",,,,,,,,,,,,
"Şan‘ā’, Yemen",,,,,,,,,,,,
"Hưng Yên, Vietnam",,,,,,,,,,,,
"Abruzzo, Italy",,,,,,,,,,,,
"North West, Singapore",,,,,,,,,,,,
"Aomori, Japan",,,,,,,,,,,,
"Savanes, Togo",,,,,,,,,,,,
"Machakos, Kenya",,,,,,,,,,,,
"Karnali, Nepal",,,,,,,,,,,,
"Cabinda, Angola",,,,,,,,,,,,
"Zakarpatska oblast, Ukraine",,,,,,,,,,,,
"Steiermark, Austria",,,,,,,,,,,,
"Ul'yanovskaya oblast', Russia",,,,,,,,,,,,
"Iwate, Japan",,,,,,,,,,,,
"Viciebskaja voblasć, Belarus",,,,,,,,,,,,
"Tverskaya oblast', Russia",,,,,,,,,,,,
"Dayr az Zawr, Syria",,,,,,,,,,,,
"Baghlān, Afghanistan",,,,,,,,,,,,
"Khmelnytska oblast, Ukraine",,,,,,,,,,,,
"Quiché, Guatemala",,,,,,,,,,,,
"Lebap, Turkmenistan",,,,,,,,,,,,
"Świętokrzyskie, Poland",,,,,,,,,,,,
"Lanao del Norte, Philippines",,,,,,,,,,,,
"Yaroslavskaya oblast', Russia",,,,,,,,,,,,
"Syddanmark, Denmark",,,,,,,,,,,,
"Bà Rịa - Vũng Tàu, Vietnam",,,,,,,,,,,,
"Bruxelles-Capitale: Région de, Belgium",,,,,,,,,,,,
"HaDarom, Israel",,,,,,,,,,,,
"An Nīl al Azraq, Sudan",,,,,,,,,,,,
"Central, Paraguay",,,,,,,,,,,,
"Alibori, Benin",,,,,,,,,,,,
"Bình Thuận, Vietnam",,,,,,,,,,,,
"Wādī Fīrā’, Chad",,,,,,,,,,,,
"Nord-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,
"Friuli Venezia Giulia, Italy",,,,,,,,,,,,
"South West, Singapore",,,,,,,,,,,,
"Hà Tĩnh, Vietnam",,,,,,,,,,,,
"Nord, Haiti",,,,,,,,,,,,
"Kahramanmaraş, Turkey",,,,,,,,,,,,
"Khánh Hòa, Vietnam",,,,,,,,,,,,
"Papua Barat, Indonesia",,,,,,,,,,,,
"Viken, Norway",,,,,,,,,,,,
"Central Equatoria, South Sudan",,,,,,,,,,,,
"Labé, Guinea",,,,,,,,,,,,
"El Callao, Peru",,,,,,,,,,,,
"San Marcos, Guatemala",,,,,,,,,,,,
"Analanjirofo, Madagascar",,,,,,,,,,,,
"Zhytomyrska oblast, Ukraine",,,,,,,,,,,,
"Táchira, Venezuela",,,,,,,,,,,,
"Mangochi, Malawi",,,,,,,,,,,,
"Pest, Hungary",,,,,,,,,,,,
"Illes Balears, Spain",,,,,,,,,,,,
"Bryanskaya oblast', Russia",,,,,,,,,,,,
"Kisumu, Kenya",,,,,,,,,,,,
"Boeny, Madagascar",,,,,,,,,,,,
"Cherkaska oblast, Ukraine",,,,,,,,,,,,
"Faranah, Guinea",,,,,,,,,,,,
"Buri Ram, Thailand",,,,,,,,,,,,
"Quảng Ninh, Vietnam",,,,,,,,,,,,
"Podlaskie, Poland",,,,,,,,,,,,
"Zamboanga del Sur, Philippines",,,,,,,,,,,,
"Chaco, Argentina",,,,,,,,,,,,
"Overijssel, Netherlands",,,,,,,,,,,,
"Zamboanga del Norte, Philippines",,,,,,,,,,,,
"Waddāy, Chad",,,,,,,,,,,,
"Chuvashskaya Respublika, Russia",,,,,,,,,,,,
"Laḩij, Yemen",,,,,,,,,,,,
"Tlemcen, Algeria",,,,,,,,,,,,
"Bishkek Shaary, Kyrgyzstan",,,,,,,,,,,,
"Haute-Matsiatra, Madagascar",,,,,,,,,,,,
"Jihomoravský kraj, Czech Republic",,,,,,,,,,,,
"Vĩnh Long, Vietnam",,,,,,,,,,,,
"Kirovskaya oblast', Russia",,,,,,,,,,,,
"Ouémé, Benin",,,,,,,,,,,,
"Kunduz, Afghanistan",,,,,,,,,,,,
"Boyacá, Colombia",,,,,,,,,,,,
"Maputo (Province), Mozambique",,,,,,,,,,,,
"Bas-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,
"Kitui, Kenya",,,,,,,,,,,,
"Valdesia, Dominican Republic",,,,,,,,,,,,
"Isikawa, Japan",,,,,,,,,,,,
"Narok, Kenya",,,,,,,,,,,,
"Bangui, Central African Republic",,,,,,,,,,,,
"Rivnenska oblast, Ukraine",,,,,,,,,,,,
"Osh, Kyrgyzstan",,,,,,,,,,,,
"Ôita, Japan",,,,,,,,,,,,
"Samut Sakhon, Thailand",,,,,,,,,,,,
"Aydin, Turkey",,,,,,,,,,,,
"Iringa, Tanzania",,,,,,,,,,,,
"Huila, Colombia",,,,,,,,,,,,
"Moravskoslezský kraj, Czech Republic",,,,,,,,,,,,
"Shabeellaha Dhexe, Somalia",,,,,,,,,,,,
"Pool, Congo",,,,,,,,,,,,
"Lūghūn ash Sharqī, Chad",,,,,,,,,,,,
"Alaotra Mangoro, Madagascar",,,,,,,,,,,,
"Tekirdağ, Turkey",,,,,,,,,,,,
"Maule, Chile",,,,,,,,,,,,
"Siem Reab [Siĕmréab], Cambodia",,,,,,,,,,,,
"Lipetskaya oblast', Russia",,,,,,,,,,,,
"Western, Zambia",,,,,,,,,,,,
"Thái Nguyên, Vietnam",,,,,,,,,,,,
"Cesar, Colombia",,,,,,,,,,,,
"Homa Bay, Kenya",,,,,,,,,,,,
"Mykolaivska oblast, Ukraine",,,,,,,,,,,,
"Masbate, Philippines",,,,,,,,,,,,
"Saskatchewan, Canada",,0.07412892742347792,,0.23029671055455672,,0.17757948185210534,,0.20123423616235064,,0.18784310152249595,,0.12891754248501344
"Būshehr, Iran",,,,,,,,,,,,
"Tizi Ouzou, Algeria",,,,,,,,,,,,
"Kericho, Kenya",,,,,,,,,,,,
"Alajuela, Costa Rica",,,,,,,,,,,,
"Skikda, Algeria",,,,,,,,,,,,
"Đà Nẵng, Vietnam",,,,,,,,,,,,
"Bono, Ghana",,,,,,,,,,,,
"Ancash, Peru",,,,,,,,,,,,
"Upper East, Ghana",,,,,,,,,,,,
"Central Singapore, Singapore",,,,,,,,,,,,
"Sơn La, Vietnam",,,,,,,,,,,,
"Androy, Madagascar",,,,,,,,,,,,
"Zhambyl oblysy, Kazakhstan",,,,,,,,,,,,
"Saint-Louis, Senegal",,,,,,,,,,,,
"Terengganu, Malaysia",,,,,,,,,,,,
"Corrientes, Argentina",,,,,,,,,,,,
"Trans Nzoia, Kenya",,,,,,,,,,,,
"Qazvīn, Iran",,,,,,,,,,,,
"Bắc Ninh, Vietnam",,,,,,,,,,,,
"Turkana, Kenya",,,,,,,,,,,,
"'Adan, Yemen",,,,,,,,,,,,
"Ryazanskaya oblast', Russia",,,,,,,,,,,,
"Limburg, Netherlands",,,,,,,,,,,,
"Tiaret, Algeria",,,,,,,,,,,,
"Zabaykal'skiy kray, Russia",,,,,,,,,,,,
"Migori, Kenya",,,,,,,,,,,,
"Miyazaki, Japan",,,,,,,,,,,,
"Loreto, Peru",,,,,,,,,,,,
"Vologodskaya oblast', Russia",,,,,,,,,,,,
"Yamagata, Japan",,,,,,,,,,,,
"Rhode Island, USA",0.07185634479207909,,0.24272674090386556,,0.1852848910605986,,0.20219814299877983,,0.19471465765319892,,0.10321922259147798,
"Constantine, Algeria",,,,,,,,,,,,
"Sava, Madagascar",,,,,,,,,,,,
"Māyū Kībbī ash Sharqī, Chad",,,,,,,,,,,,
"Ḩawallī, Kuwait",,,,,,,,,,,,
"Bono East, Ghana",,,,,,,,,,,,
"Şā‘dah, Yemen",,,,,,,,,,,,
"Thừa Thiên-Huế, Vietnam",,,,,,,,,,,,
"Montana, USA",0.0714170419062364,,0.2569829810997997,,0.17151463202402942,,0.19255031178743795,,0.19127199256385852,,0.11626304061863806,
"Kurskaya oblast', Russia",,,,,,,,,,,,
"La Guajira, Colombia",,,,,,,,,,,,
"Uíge, Angola",,,,,,,,,,,,
"Makueni, Kenya",,,,,,,,,,,,
"La Araucanía, Chile",,,,,,,,,,,,
"Louga, Senegal",,,,,,,,,,,,
"Diana, Madagascar",,,,,,,,,,,,
"Denizli, Turkey",,,,,,,,,,,,
"Negeri Sembilan, Malaysia",,,,,,,,,,,,
"Sfax, Tunisia",,,,,,,,,,,,
"Los Lagos, Chile",,,,,,,,,,,,
"Republika Srpska, Bosnia and Herzegovina",,,,,,,,,,,,
"Viangchan, Laos",,,,,,,,,,,,
"Santiago de Cuba, Cuba",,,,,,,,,,,,
"Sakarya, Turkey",,,,,,,,,,,,
"Qom, Iran",,,,,,,,,,,,
"Mahilioŭskaja voblasć, Belarus",,,,,,,,,,,,
"Ulsan-gwangyeoksi, South Korea",,,,,,,,,,,,
"Arkhangel'skaya oblast', Russia",,,,,,,,,,,,
"Sultan Kudarat, Philippines",,,,,,,,,,,,
"Al Lādhiqīyah, Syria",,,,,,,,,,,,
"Kaolack, Senegal",,,,,,,,,,,,
"Ghōr, Afghanistan",,,,,,,,,,,,
"Maguindanao, Philippines",,,,,,,,,,,,
"Sumska oblast, Ukraine",,,,,,,,,,,,
"Hrodzienskaja voblasć, Belarus",,,,,,,,,,,,
"Zanzan, Ivory Coast",,,,,,,,,,,,
"Savannakhét, Laos",,,,,,,,,,,,
"Muğla, Turkey",,,,,,,,,,,,
"Toyama, Japan",,,,,,,,,,,,
"Ternopilska oblast, Ukraine",,,,,,,,,,,,
"Kaluzhskaya oblast', Russia",,,,,,,,,,,,
"Khōst, Afghanistan",,,,,,,,,,,,
"Trentino-Alto Adige, Italy",,,,,,,,,,,,
"Holguín, Cuba",,,,,,,,,,,,
"Thessalía, Greece",,,,,,,,,,,,
"Lindi, Tanzania",,,,,,,,,,,,
"Roi Et, Thailand",,,,,,,,,,,,
"Tambovskaya oblast', Russia",,,,,,,,,,,,
"Murang'a, Kenya",,,,,,,,,,,,
"Lubuskie, Poland",,,,,,,,,,,,
"Udon Thani, Thailand",,,,,,,,,,,,
"Khersonska oblast, Ukraine",,,,,,,,,,,,
"Astrakhanskaya oblast', Russia",,,,,,,,,,,,
"Gilgit-Baltistan, Pakistan",,,,,,,,,,,,
"Muyinga, Burundi",,,,,,,,,,,,
"Darٰā, Syria",,,,,,,,,,,,
"Monagas, Venezuela",,,,,,,,,,,,
"Bay, Somalia",,,,,,,,,,,,
"Chahār Maḩāl va Bakhtīārī, Iran",,,,,,,,,,,,
"Surat Thani, Thailand",,,,,,,,,,,,
"Lunda-Norte, Angola",,,,,,,,,,,,
"Woroba, Ivory Coast",,,,,,,,,,,,
"Estuaire, Gabon",,,,,,,,,,,,
"Fatick, Senegal",,,,,,,,,,,,
"Upper Nile, South Sudan",,,,,,,,,,,,
"Tombouctou, Mali",,,,,,,,,,,,
"Phú Thọ, Vietnam",,,,,,,,,,,,
"Bern, Switzerland",,,,,,,,,,,,
"Tomskaya oblast', Russia",,,,,,,,,,,,
"Ar Rayyān, Qatar",,,,,,,,,,,,
"Cascades, Burkina Faso",,,,,,,,,,,,
"Mostaganem, Algeria",,,,,,,,,,,,
"Nandi, Kenya",,,,,,,,,,,,
"Asturias, Principado de, Spain",,,,,,,,,,,,
"Volynska oblast, Ukraine",,,,,,,,,,,,
"Chandigarh, India",,,,,,,,,,,,
"Mindoro Oriental, Philippines",,,,,,,,,,,,
"Nakhon Pathom, Thailand",,,,,,,,,,,,
"Lop Buri, Thailand",,,,,,,,,,,,
"Yerushalayim, Israel",,,,,,,,,,,,
"Uturu paḷāta, Sri Lanka",,,,,,,,,,,,
"Bujumbura Mairie, Burundi",,,,,,,,,,,,
"Gitega, Burundi",,,,,,,,,,,,
"Zou, Benin",,,,,,,,,,,,
"Aşgabat, Turkmenistan",,,,,,,,,,,,
"Béjaïa, Algeria",,,,,,,,,,,,
"Otdar Mean Chey [Ŏtdâr Méan Choăy], Cambodia",,,,,,,,,,,,
"Kaliningradskaya oblast', Russia",,,,,,,,,,,,
"Libertador General Bernardo O'Higgins, Chile",,,,,,,,,,,,
"Saarland, Germany",,,,,,,,,,,,
"Santiago del Estero, Argentina",,,,,,,,,,,,
"Al Balqā’, Jordan",,,,,,,,,,,,
"Tabūk, Saudi Arabia",,,,,,,,,,,,
"Delaware, USA",0.07374963183069101,,0.25797776280937046,,0.1808460559246526,,0.1907770936763428,,0.18388888149095747,,0.11276057426798565,
"Akita, Japan",,,,,,,,,,,,
"Biskra, Algeria",,,,,,,,,,,,
"South East, Singapore",,,,,,,,,,,,
"East, Cameroon",,,,,,,,,,,,
"Baja California Sur, Mexico",,,,,,,,,,,,
"Lima, Peru",,,,,,,,,,,,
"Aïn Defla, Algeria",,,,,,,,,,,,
"L'Ariana, Tunisia",,,,,,,,,,,,
"Tiranë, Albania",,,,,,,,,,,,
"Yazd, Iran",,,,,,,,,,,,
"Siaya, Kenya",,,,,,,,,,,,
"Extremadura, Spain",,,,,,,,,,,,
"Kara, Togo",,,,,,,,,,,,
"Kagawa, Japan",,,,,,,,,,,,
"Muchinga, Zambia",,,,,,,,,,,,
"Kirundo, Burundi",,,,,,,,,,,,
"Falcón, Venezuela",,,,,,,,,,,,
"Nova Scotia, Canada",,0.09004460427426268,,0.2904846589700216,,0.18516490816671544,,0.18347345993262704,,0.1605219391835596,,0.09031042947281367
"Ivanovskaya oblast', Russia",,,,,,,,,,,,
"Campeche, Mexico",,,,,,,,,,,,
"Phitsanulok, Thailand",,,,,,,,,,,,
"Western, The Gambia",,,,,,,,,,,,
"Buryatiya, Respublika, Russia",,,,,,,,,,,,
"Ninh Bình, Vietnam",,,,,,,,,,,,
"Réunion, France",,,,,,,,,,,,
"Nay Pyi Taw, Myanmar",,,,,,,,,,,,
"Sucre, Venezuela",,,,,,,,,,,,
"Mascara, Algeria",,,,,,,,,,,,
"Opolskie, Poland",,,,,,,,,,,,
"Centre-Sud, Burkina Faso",,,,,,,,,,,,
"Ash Shamālīyah, Sudan",,,,,,,,,,,,
"Zomba, Malawi",,,,,,,,,,,,
"Ad Dawḩah, Qatar",,,,,,,,,,,,
"H̱efa, Israel",,,,,,,,,,,,
"Al Jafārah, Libya",,,,,,,,,,,,
"Trà Vinh, Vietnam",,,,,,,,,,,,
"Likouala, Congo",,,,,,,,,,,,
"Sakon Nakhon, Thailand",,,,,,,,,,,,
"Vĩnh Phúc, Vietnam",,,,,,,,,,,,
"Eskişehir, Turkey",,,,,,,,,,,,
"Quetzaltenango, Guatemala",,,,,,,,,,,,
"Los Ríos, Ecuador",,,,,,,,,,,,
"Melaka, Malaysia",,,,,,,,,,,,
"San Martín, Peru",,,,,,,,,,,,
"Smolenskaya oblast', Russia",,,,,,,,,,,,
"Potosí, Bolivia",,,,,,,,,,,,
"Banghāzī, Libya",,,,,,,,,,,,
"Thyolo, Malawi",,,,,,,,,,,,
"Sakha, Respublika, Russia",,,,,,,,,,,,
"Plateau Central, Burkina Faso",,,,,,,,,,,,
"Nord-Ouest, Haiti",,,,,,,,,,,,
"Kasungu, Malawi",,,,,,,,,,,,
"Risaralda, Colombia",,,,,,,,,,,,
"Zambales, Philippines",,,,,,,,,,,,
"Kayanza, Burundi",,,,,,,,,,,,
"Dedza, Malawi",,,,,,,,,,,,
"Mordoviya, Respublika, Russia",,,,,,,,,,,,
"Mubende, Uganda",,,,,,,,,,,,
"North-Western, Zambia",,,,,,,,,,,,
"Lūghūn al Gharbī, Chad",,,,,,,,,,,,
"Navoiy, Uzbekistan",,,,,,,,,,,,
"Al Muthanná, Iraq",,,,,,,,,,,,
"Benguet, Philippines",,,,,,,,,,,,
"Al Bayḑā’, Yemen",,,,,,,,,,,,
"Rayong, Thailand",,,,,,,,,,,,
"Al Farwānīyah, Kuwait",,,,,,,,,,,,
"Toshkent (City), Uzbekistan",,,,,,,,,,,,
"Suphan Buri, Thailand",,,,,,,,,,,,
"Janūb Kurdufān, Sudan",,,,,,,,,,,,
"Zaire, Angola",,,,,,,,,,,,
"Barinas, Venezuela",,,,,,,,,,,,
"Qāsh-Barkah, Eritrea",,,,,,,,,,,,
"Bạc Liêu, Vietnam",,,,,,,,,,,,
"Matebeleland North, Zimbabwe",,,,,,,,,,,,
"Kirovohradska oblast, Ukraine",,,,,,,,,,,,
"Setúbal, Portugal",,,,,,,,,,,,
"Meta, Colombia",,,,,,,,,,,,
"Al ‘Āşimah, Kuwait",,,,,,,,,,,,
"Atacora, Benin",,,,,,,,,,,,
"Tbong Khmum [Tbong Khmŭm], Cambodia",,,,,,,,,,,,
"Khorāsān-e Shomālī, Iran",,,,,,,,,,,,
"Menabe, Madagascar",,,,,,,,,,,,
"Portuguesa, Venezuela",,,,,,,,,,,,
"Relizane, Algeria",,,,,,,,,,,,
"Médéa, Algeria",,,,,,,,,,,,
"Busia, Kenya",,,,,,,,,,,,
"Zanjān, Iran",,,,,,,,,,,,
"Nakhon Sawan, Thailand",,,,,,,,,,,,
"Bādghīs, Afghanistan",,,,,,,,,,,,
"Phú Yên, Vietnam",,,,,,,,,,,,
"Caldas, Colombia",,,,,,,,,,,,
"Umbria, Italy",,,,,,,,,,,,
"Kwale, Kenya",,,,,,,,,,,,
"South, Cameroon",,,,,,,,,,,,
"Acre, Brazil",,,,,,,,,,,,
"Kalasin, Thailand",,,,,,,,,,,,
"Māndūl, Chad",,,,,,,,,,,,
"Azuay, Ecuador",,,,,,,,,,,,
"Sorsogon, Philippines",,,,,,,,,,,,
"Hà Nam, Vietnam",,,,,,,,,,,,
"Ouargla, Algeria",,,,,,,,,,,,
"Aqtöbe oblysy, Kazakhstan",,,,,,,,,,,,
"South Dakota, USA",0.06614764369999439,,0.23286402014096505,,0.16318490334945593,,0.195826647085175,,0.20389210521839232,,0.13808468050601724,
"Mjini Magharibi, Tanzania",,,,,,,,,,,,
"Sud-Ouest, Burkina Faso",,,,,,,,,,,,
"Bomet, Kenya",,,,,,,,,,,,
"Surin, Thailand",,,,,,,,,,,,
"Mardin, Turkey",,,,,,,,,,,,
"Aqmola oblysy, Kazakhstan",,,,,,,,,,,,
"Wakayama, Japan",,,,,,,,,,,,
"Diffa, Niger",,,,,,,,,,,,
"Quảng Bình, Vietnam",,,,,,,,,,,,
"Parwān, Afghanistan",,,,,,,,,,,,
"Samar, Philippines",,,,,,,,,,,,
"Huánuco, Peru",,,,,,,,,,,,
"Amapá, Brazil",,,,,,,,,,,,
"Prey Veaeng [Prey Vêng], Cambodia",,,,,,,,,,,,
"Ngozi, Burundi",,,,,,,,,,,,
"Jubbada Hoose, Somalia",,,,,,,,,,,,
"Njombe, Tanzania",,,,,,,,,,,,
"Tambacounda, Senegal",,,,,,,,,,,,
"Coquimbo, Chile",,,,,,,,,,,,
"Zamboanga City, Philippines",,,,,,,,,,,,
"Al ‘Āşimah, Bahrain",,,,,,,,,,,,
"Shimālī al Baḩrī al Aḩmar, Eritrea",,,,,,,,,,,,
"Nabeul, Tunisia",,,,,,,,,,,,
"Kasese, Uganda",,,,,,,,,,,,
"Centrale, Togo",,,,,,,,,,,,
"Centre, Haiti",,,,,,,,,,,,
"Ar Raqqah, Syria",,,,,,,,,,,,
"Bouira, Algeria",,,,,,,,,,,,
"Alto Paraná, Paraguay",,,,,,,,,,,,
"Tānjīlī, Chad",,,,,,,,,,,,
"Phra Nakhon Si Ayutthaya, Thailand",,,,,,,,,,,,
"La Union, Philippines",,,,,,,,,,,,
"Si sa ket, Thailand",,,,,,,,,,,,
"Champasak, Laos",,,,,,,,,,,,
"Mila, Algeria",,,,,,,,,,,,
"Sucre, Colombia",,,,,,,,,,,,
"Jijel, Algeria",,,,,,,,,,,,
"Kabardino-Balkarskaya Respublika, Russia",,,,,,,,,,,,
"Sud, Haiti",,,,,,,,,,,,
"Taakaev [Takêv], Cambodia",,,,,,,,,,,,
"Qostanay oblysy, Kazakhstan",,,,,,,,,,,,
"Granma, Cuba",,,,,,,,,,,,
"Petén, Guatemala",,,,,,,,,,,,
"Davao de Oro, Philippines",,,,,,,,,,,,
"Vilniaus apskritis, Lithuania",,,,,,,,,,,,
"Mamou, Guinea",,,,,,,,,,,,
"Prešovský kraj, Slovakia",,,,,,,,,,,,
"Katavi, Tanzania",,,,,,,,,,,,
"Saga, Japan",,,,,,,,,,,,
"Paktiyā, Afghanistan",,,,,,,,,,,,
"Agusan del Sur, Philippines",,,,,,,,,,,,
"Phetchabun, Thailand",,,,,,,,,,,,
"Saraburi, Thailand",,,,,,,,,,,,
"Collines, Benin",,,,,,,,,,,,
"Chüy, Kyrgyzstan",,,,,,,,,,,,
"Shārī al Awsaṭ, Chad",,,,,,,,,,,,
"Western North, Ghana",,,,,,,,,,,,
"Kamphaeng Phet, Thailand",,,,,,,,,,,,
"Ica, Peru",,,,,,,,,,,,
"Ahal, Turkmenistan",,,,,,,,,,,,
"Gharb Dārfūr, Sudan",,,,,,,,,,,,
"Bataan, Philippines",,,,,,,,,,,,
"Vaud, Switzerland",,,,,,,,,,,,
"Yamanasi, Japan",,,,,,,,,,,,
"Kolda, Senegal",,,,,,,,,,,,
"Oum el Bouaghi, Algeria",,,,,,,,,,,,
"Matebeleland South, Zimbabwe",,,,,,,,,,,,
"Shamāl al Bāţinah, Oman",,,,,,,,,,,,
"Upper West, Ghana",,,,,,,,,,,,
"Al Janūbī, Eritrea",,,,,,,,,,,,
"Košický kraj, Slovakia",,,,,,,,,,,,
"Gao, Mali",,,,,,,,,,,,
"Capiz, Philippines",,,,,,,,,,,,
"Shārī Bāqirmī, Chad",,,,,,,,,,,,
"Sirdaryo, Uzbekistan",,,,,,,,,,,,
"Phuket, Thailand",,,,,,,,,,,,
"Litoral, Equatorial Guinea",,,,,,,,,,,,
"Chaiyaphum, Thailand",,,,,,,,,,,,
"Liban-Sud, Lebanon",,,,,,,,,,,,
"Ḥajjar Lamīs, Chad",,,,,,,,,,,,
"Kurganskaya oblast', Russia",,,,,,,,,,,,
"Northern Samar, Philippines",,,,,,,,,,,,
"Agusan del Norte, Philippines",,,,,,,,,,,,
"Kanchanaburi, Thailand",,,,,,,,,,,,
"Colima, Mexico",,,,,,,,,,,,
"Banteay Mean Choăy [Bântéay Méanchey], Cambodia",,,,,,,,,,,,
"Ústecký kraj, Czech Republic",,,,,,,,,,,,
"El Oued, Algeria",,,,,,,,,,,,
"Al Maḩwīt, Yemen",,,,,,,,,,,,
"Tbilisi, Georgia",,,,,,,,,,,,
"Sjælland, Denmark",,,,,,,,,,,,
"Māyū Kībbī al Gharbī, Chad",,,,,,,,,,,,
"Lampang, Thailand",,,,,,,,,,,,
"Bordj Bou Arréridj, Algeria",,,,,,,,,,,,
"Mulanje, Malawi",,,,,,,,,,,,
"Ryanggang-do [Ryangkangto], North Korea",,,,,,,,,,,,
"Kampong Spueu [Kâmpóng Spœ], Cambodia",,,,,,,,,,,,
"Ţarābulus, Libya",,,,,,,,,,,,
"Eastern Highlands, Papua New Guinea",,,,,,,,,,,,
"Malatya, Turkey",,,,,,,,,,,,
"Mérida, Venezuela",,,,,,,,,,,,
"Sousse, Tunisia",,,,,,,,,,,,
"Qīrā, Chad",,,,,,,,,,,,
"Farāh, Afghanistan",,,,,,,,,,,,
"Morobe, Papua New Guinea",,,,,,,,,,,,
"Soltüstik Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,
"Hukui, Japan",,,,,,,,,,,,
"Qyzylorda oblysy, Kazakhstan",,,,,,,,,,,,
"Grad Zagreb, Croatia",,,,,,,,,,,,
"Amurskaya oblast', Russia",,,,,,,,,,,,
"La Libertad, El Salvador",,,,,,,,,,,,
"Hoima, Uganda",,,,,,,,,,,,
"Chachoengsao, Thailand",,,,,,,,,,,,
"Būr Sa‘īd, Egypt",,,,,,,,,,,,
"Dowa, Malawi",,,,,,,,,,,,
"North Dakota, USA",0.06530792455010755,,0.21097932233724018,,0.16122068523957797,,0.21406841785282757,,0.2117150919158483,,0.13670855810439841,
"Ilocos Sur, Philippines",,,,,,,,,,,,
"Lanao del Sur, Philippines",,,,,,,,,,,,
"Braga, Portugal",,,,,,,,,,,,
"Anosy, Madagascar",,,,,,,,,,,,
"Camagüey, Cuba",,,,,,,,,,,,
"Annaba, Algeria",,,,,,,,,,,,
"New Brunswick, Canada",,0.09200208981272644,,0.29749847883078084,,0.19280213490851345,,0.16984224446434065,,0.15691481561095025,,0.09094023637268833
"Central, Botswana",,,,,,,,,,,,
"Mangghystaū oblysy, Kazakhstan",,,,,,,,,,,,
"Escuintla, Guatemala",,,,,,,,,,,,
"Komi, Respublika, Russia",,,,,,,,,,,,
"Erzurum, Turkey",,,,,,,,,,,,
"Jujuy, Argentina",,,,,,,,,,,,
"Pavlodar oblysy, Kazakhstan",,,,,,,,,,,,
"Machinga, Malawi",,,,,,,,,,,,
"Tirol, Austria",,,,,,,,,,,,
"Cibao Sur, Dominican Republic",,,,,,,,,,,,
"Kajiado, Kenya",,,,,,,,,,,,
"Sarangani, Philippines",,,,,,,,,,,,
"Ratchaburi, Thailand",,,,,,,,,,,,
"Hebron, State of Palestine",,,,,,,,,,,,
"Nyeri, Kenya",,,,,,,,,,,,
"Tébessa, Algeria",,,,,,,,,,,,
"Maha Sarakham, Thailand",,,,,,,,,,,,
"San Juan, Argentina",,,,,,,,,,,,
"Iaşi, Romania",,,,,,,,,,,,
"Aḑ Ḑāli‘, Yemen",,,,,,,,,,,,
"Shabwah, Yemen",,,,,,,,,,,,
"Yên Bái, Vietnam",,,,,,,,,,,,
"Chimaltenango, Guatemala",,,,,,,,,,,,
"Mukono, Uganda",,,,,,,,,,,,
"Villa Clara, Cuba",,,,,,,,,,,,
"Embu, Kenya",,,,,,,,,,,,
"Dādra and Nagar Haveli and Damān and Diu, India",,,,,,,,,,,,
"Couffo, Benin",,,,,,,,,,,,
"Liban-Nord, Lebanon",,,,,,,,,,,,
"Oti, Ghana",,,,,,,,,,,,
"Kalimantan Utara, Indonesia",,,,,,,,,,,,
"Misamis Occidental, Philippines",,,,,,,,,,,,
"Tokusima, Japan",,,,,,,,,,,,
"Orlovskaya oblast', Russia",,,,,,,,,,,,
"Guárico, Venezuela",,,,,,,,,,,,
"Ţarţūs, Syria",,,,,,,,,,,,
"Togdheer, Somalia",,,,,,,,,,,,
"Kampong Chaam [Kâmpóng Cham], Cambodia",,,,,,,,,,,,
"Ayacucho, Peru",,,,,,,,,,,,
"Baringo, Kenya",,,,,,,,,,,,
"Zamboanga Sibugay, Philippines",,,,,,,,,,,,
"Mchinji, Malawi",,,,,,,,,,,,
"Itasy, Madagascar",,,,,,,,,,,,
"Arua, Uganda",,,,,,,,,,,,
"Jerusalem, State of Palestine",,,,,,,,,,,,
"Prahova, Romania",,,,,,,,,,,,
"Laghouat, Algeria",,,,,,,,,,,,
"Alaska, USA",0.038969949524241314,,0.21019106268153162,,0.1792507363444259,,0.22958861828151256,,0.20050099042779557,,0.14149864274049306,
