longname,"Agriculture, forestry, fishing and hunting %","Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction %","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services %,Accommodation and food services % [StatCan],"Arts, entertainment, and recreation %","Arts, entertainment, and recreation % [StatCan]",Construction %,Construction % [StatCan],Educational services %,Educational services % [StatCan],Health care and social assistance %,Health care and social assistance % [StatCan],Finance and insurance %,Finance and insurance % [StatCan],Real estate and rental and leasing %,Real estate and rental and leasing % [StatCan],Information %,Information % [StatCan],Manufacturing %,Manufacturing % [StatCan],"Other services, except public administration %","Other services, except public administration % [StatCan]",Administrative and support and waste management services %,Administrative and support and waste management services % [StatCan],Management of companies and enterprises %,Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services %","Professional, scientific, and technical services % [StatCan]",Public administration %,Public administration % [StatCan],Retail trade %,Retail trade % [StatCan],Transportation and warehousing %,Transportation and warehousing % [StatCan],Utilities %,Utilities % [StatCan],Wholesale trade %,Wholesale trade % [StatCan]
"Sejong, South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tasman District, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidin, Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guainía, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Andrés, Providencia y Santa Catalina, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capital Territory (Honiara), Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illizi, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jericho - Al Aghwar, State of Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayan-Ölgiy, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ntoroko, Uganda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceuta, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soroca, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trelawny, Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tagant, Mauritania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viqueque, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omaheke, Namibia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayanhongor, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quinara, Guinea-Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dikhil, Djibouti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virovitičko-podravska županija, Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prilep, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dornogovĭ, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samtse, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isabela City, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anenii Noi, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liquiça, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boquerón, Paraguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keski-Pohjanmaa, Finland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jura, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bender, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dornod, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tongatapu, Tonga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moyen-Ogooué, Gabon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inīdī ash Sharqī, Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tunceli, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanover, Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bălți, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sîngerei, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vaupés, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkhabīl Suquţrá, Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vakaga, Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Kru, Liberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kukës, Albania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vichada, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tobago, Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Požeško-slavonska županija, Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikšić, Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oé-Cusse Ambeno, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalangala, Uganda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savanne, Mauritius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiris Zemmour, Mauritania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artigas, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daugavpils, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kainuu, Finland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hentiy, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fălești, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocha, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strășeni, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cayman Islands (UK), Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakshadweep, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edineţ, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogooué-Ivindo, Gabon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cova Lima, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Căușeni, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uvs, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trashigang, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Castries, Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bermuda (UK), Bermuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liepāja, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanma, Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belait, Brunei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kgalagadi, Botswana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guernsey (UK), Guernsey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adrar, Mauritania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jelgava, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lautém, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aileu, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Struga, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Jufrah, Libya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kié-Ntem, Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayburt, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ainaro, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christ Church, Barbados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durazno, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Briceni, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lavalleja, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Río Negro, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ghanzi, Botswana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darién, Panama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint John, Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pakwach, Uganda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kičevo, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bamingui-Bangoran, Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cimișlia, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telenești, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gjirokastër, Albania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strumica, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Călărași, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valmieras novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Catarina, Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kranj, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Makira-Ulawa, Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohrid, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dzavhan, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogres novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahaica-Berbice, Guyana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andjouân [Anjouan], Comoros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veles, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarpang, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sühbaatar, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koper, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appenzell Ausserrhoden, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tutong, Brunei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Kufrah, Libya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stann Creek, Belize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bulgan, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Govĭ-Altay, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manufahi, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nyanga, Gabon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manatutu, East Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arta, Djibouti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capellen, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manus, Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gotlands län, Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hovd, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Celje, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tibastī, Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faroe Islands (DK), Faroe Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corozal, Belize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toplički okrug, Serbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint George, Grenada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samdrup Jongkhar, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marlborough District, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pomeroon-Supenaam, Guyana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jūrmala, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Štip, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bar, Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ličko-senjska županija, Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ștefan Vodă, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obock, Djibouti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leova, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Treinta y Tres, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glodeni, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lääne-Virumaa, Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monggar, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vayoc Jor, Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chukotskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wangdue Phodrang, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Mariana Islands, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nidwalden, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tukuma novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange Walk, Belize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malampa, Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sint Maarten, Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paro, Bhutan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bauskas novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Criuleni, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gisborne District, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolama/Bijagós, Guinea-Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turks and Caicos Islands (UK), Turks and Caicos Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cēsu novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodrigues Island, Mauritius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pohnpei, Micronesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Demerara-Berbice, Guyana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northwest Territories, Canada",,0.005695301376364501,,0.04508780256288567,,0.04817275747508306,,0.016848599905078313,,0.06407214048410063,,0.08542952064546756,,0.11390602752729002,,0.009254864736592313,,0.010678690080683432,,0.012577123872804933,,0.006881822496440438,,0.03179876601803511,,0.03440911248220215,,0.0,,0.0453251067869008,,0.29378262933080207,,0.09539629805410539,,0.06146179401993347,,0.011390602752729002,,0.007831039392501186
"Cantemir, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint George, Saint Vincent and the Grenadines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mayaro-Rio Claro, Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wele-Nzas, Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yukon, Canada",,0.013603925066904552,,0.028545941123996478,,0.05597680642283683,,0.025423728813559362,,0.09099018733273867,,0.0780553077609277,,0.12176628010704732,,0.010927743086529879,,0.009812667261373774,,0.023862622658340778,,0.010258697591436215,,0.040365744870651206,,0.025869759143621798,,0.0,,0.05463871543264938,,0.2560214094558429,,0.09924174843889381,,0.03791257805530779,,0.0066904549509366655,,0.010035682426404994
"Az̧ Za̧`āyin, Qatar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sipaliwini, Suriname",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obwalden, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arima, Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raplamaa, Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glarus, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taféa, Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaeb [Kêb], Cambodia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viljandimaa, Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Staro Nagoričane, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saaremaa, Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monaco, Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pénama, Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nelson City, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rîșcani, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kavadarci, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Musandam, Oman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarrafal, Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jēkabpils novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novo Mesto, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Coast, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dundgovĭ, Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Fernando, Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nunavut, Canada",,0.014393939393939402,,0.02992424242424242,,0.028030303030303023,,0.019696969696969706,,0.04621212121212122,,0.11515151515151513,,0.0992424242424241,,0.007954545454545462,,0.03371212121212125,,0.01136363636363637,,0.006439393939393948,,0.019696969696969702,,0.02916666666666668,,0.000757575757575758,,0.022348484848484854,,0.32045454545454555,,0.12196969696969696,,0.04393939393939395,,0.022348484848484843,,0.0071969696969696965
"Bogovinje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taoudénit, Mali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studeničani, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uri, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Philip, Barbados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nisporeni, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kočani, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Domžale, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dienvidkurzemes novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para, Suriname",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bijelo Polje, Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maalhosmadulu Uthuruburi, Maldives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isabel, Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galápagos, Ecuador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Choiseul, Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastern, Fiji",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taraclia, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ventspils, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Kitts, Saint Kitts and Nevis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jelgavas novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commewijne, Suriname",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mersch, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siguldas novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Talsu novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rēzeknes novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gros Islet, Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diekirch, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Marino, San Marino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grevenmacher, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Takutu-Upper Essequibo, Guyana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nova Gorica, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nenetskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Șoldănești, Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central, Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamnik, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Velenje, Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Martin, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norðurland eystra, Iceland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gibraltar (UK), Gibraltar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuuk, Micronesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Freeport, The Bahamas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barima-Waini, Guyana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saldus novads, Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berane, Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
