longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Never Married % [StatCan],Married (not divorced) %,Married (not divorced) % [StatCan],Divorced %,Divorced % [StatCan]
"Maalhosmadulu Dhekunuburi, Maldives",,,,,,,,,,,
"Emberá, Panama",,,,,,,,,,,
"Maaleatholhu, Maldives",,,,,,,,,,,
"Brokopondo, Suriname",,,,,,,,,,,
"Dennery, Saint Lucia",,,,,,,,,,,
"Huvadhuatholhu Dhekunuburi, Maldives",,,,,,,,,,,
"Likoma, Malawi",,,,,,,,,,,
"Torba, Vanuatu",,,,,,,,,,,
"Hoče-Slivnica, Slovenia",,,,,,,,,,,
"Brezovica, Slovenia",,,,,,,,,,,
"Miladhunmadulu Dhekunuburi, Maldives",,,,,,,,,,,
"Govĭ-Sümber, Mongolia",,,,,,,,,,,
"Bosilovo, North Macedonia",,,,,,,,,,,
"Fa'asaleleaga, Samoa",,,,,,,,,,,
"Novo Selo, North Macedonia",,,,,,,,,,,
"Ash Shamāl, Qatar",,,,,,,,,,,
"Idrija, Slovenia",,,,,,,,,,,
"Palauli, Samoa",,,,,,,,,,,
"Škofljica, Slovenia",,,,,,,,,,,
"Rogaška Slatina, Slovenia",,,,,,,,,,,
"Austurland, Iceland",,,,,,,,,,,
"Ventspils novads, Latvia",,,,,,,,,,,
"Tolmin, Slovenia",,,,,,,,,,,
"Faadhippolhu, Maldives",,,,,,,,,,,
"Valandovo, North Macedonia",,,,,,,,,,,
"Tuzi, Montenegro",,,,,,,,,,,
"Cerknica, Slovenia",,,,,,,,,,,
"Petrovec, North Macedonia",,,,,,,,,,,
"Ormož, Slovenia",,,,,,,,,,,
"Līvānu novads, Latvia",,,,,,,,,,,
"Punakha, Bhutan",,,,,,,,,,,
"Valkas novads, Latvia",,,,,,,,,,,
"Grenadines, Saint Vincent and the Grenadines",,,,,,,,,,,
"Huvadhuatholhu Uthuruburi, Maldives",,,,,,,,,,,
"Saint Paul, Dominica",,,,,,,,,,,
"Potaro-Siparuni, Guyana",,,,,,,,,,,
"Qeqqata Kommunia, Greenland",,,,,,,,,,,
"Temburong, Brunei",,,,,,,,,,,
"Wallis and Futuna, France",,,,,,,,,,,
"Ljutomer, Slovenia",,,,,,,,,,,
"Vava'u, Tonga",,,,,,,,,,,
"Saint Barthelemy, France",,,,,,,,,,,
"Lendava, Slovenia",,,,,,,,,,,
"Kruševo, North Macedonia",,,,,,,,,,,
"Fuvammulah, Maldives",,,,,,,,,,,
"Kratovo, North Macedonia",,,,,,,,,,,
"Saint George, Antigua and Barbuda",,,,,,,,,,,
"Ravne na Koroškem, Slovenia",,,,,,,,,,,
"La Massana, Andorra",,,,,,,,,,,
"Šoštanj, Slovenia",,,,,,,,,,,
"Saint Peter, Barbados",,,,,,,,,,,
"Saint Lucy, Barbados",,,,,,,,,,,
"Šmarje pri Jelšah, Slovenia",,,,,,,,,,,
"Ribnica, Slovenia",,,,,,,,,,,
"São Filipe, Cape Verde",,,,,,,,,,,
"Ribeira Grande de Santiago, Cape Verde",,,,,,,,,,,
"Vojnik, Slovenia",,,,,,,,,,,
"Soufrière, Saint Lucia",,,,,,,,,,,
"Šentilj, Slovenia",,,,,,,,,,,
"Mengeš, Slovenia",,,,,,,,,,,
"Laborie, Saint Lucia",,,,,,,,,,,
"Santa Cruz, Cape Verde",,,,,,,,,,,
"Porto Novo, Cape Verde",,,,,,,,,,,
"Dobrova-Polhov Gradec, Slovenia",,,,,,,,,,,
"Hrastnik, Slovenia",,,,,,,,,,,
"Saint Andrew, Dominica",,,,,,,,,,,
"Dravograd, Slovenia",,,,,,,,,,,
"Lenart, Slovenia",,,,,,,,,,,
"Anse la Raye, Saint Lucia",,,,,,,,,,,
"Central Abaco, The Bahamas",,,,,,,,,,,
"Mavrovo i Rostuša, North Macedonia",,,,,,,,,,,
"Demir Hisar, North Macedonia",,,,,,,,,,,
"Ariatholhu Uthuruburi, Maldives",,,,,,,,,,,
"Gornja Radgona, Slovenia",,,,,,,,,,,
"Ribeira Brava, Cape Verde",,,,,,,,,,,
"Šenčur, Slovenia",,,,,,,,,,,
"Bogdanci, North Macedonia",,,,,,,,,,,
"Čaška, North Macedonia",,,,,,,,,,,
"Metlika, Slovenia",,,,,,,,,,,
"Funafuti, Tuvalu",,,,,,,,,,,
"Pesnica, Slovenia",,,,,,,,,,,
"Ig, Slovenia",,,,,,,,,,,
"Saint John, Barbados",,,,,,,,,,,
"Anse Etoile, Seychelles",,,,,,,,,,,
"Saint John, Grenada",,,,,,,,,,,
"Saint Louis, Seychelles",,,,,,,,,,,
"Gaga'emauga, Samoa",,,,,,,,,,,
"Príncipe, São Tomé and Príncipe",,,,,,,,,,,
"Beltinci, Slovenia",,,,,,,,,,,
"Cerklje na Gorenjskem, Slovenia",,,,,,,,,,,
"Šempeter-Vrtojba, Slovenia",,,,,,,,,,,
"Bled, Slovenia",,,,,,,,,,,
"Kommune Kujalleq, Greenland",,,,,,,,,,,
"Plav, Montenegro",,,,,,,,,,,
"Koror, Palau",,,,,,,,,,,
"Saint Paul, Antigua and Barbuda",,,,,,,,,,,
"Lipkovo, North Macedonia",,,,,,,,,,,
"Vaisigano, Samoa",,,,,,,,,,,
"Gorenja vas-Poljane, Slovenia",,,,,,,,,,,
"Nilandheatholhu Dhekunuburi, Maldives",,,,,,,,,,,
"Maio, Cape Verde",,,,,,,,,,,
"Selnica ob Dravi, Slovenia",,,,,,,,,,,
"Exuma, The Bahamas",,,,,,,,,,,
"Line Islands, Kiribati",,,,,,,,,,,
"São Miguel, Cape Verde",,,,,,,,,,,
"Saulkrastu novads, Latvia",,,,,,,,,,,
"Saint Mary, Antigua and Barbuda",,,,,,,,,,,
"Canillo, Andorra",,,,,,,,,,,
"Prevalje, Slovenia",,,,,,,,,,,
"Mojkovac, Montenegro",,,,,,,,,,,
"Bioko Sur, Equatorial Guinea",,,,,,,,,,,
"Polzela, Slovenia",,,,,,,,,,,
"Šentjernej, Slovenia",,,,,,,,,,,
"Saint John, Dominica",,,,,,,,,,,
"Avannaata Kommunia, Greenland",,,,,,,,,,,
"Kolašin, Montenegro",,,,,,,,,,,
"Makedonska Kamenica, North Macedonia",,,,,,,,,,,
"Saint Patrick, Dominica",,,,,,,,,,,
"Vevčani, North Macedonia",,,,,,,,,,,
"Zreče, Slovenia",,,,,,,,,,,
"Železniki, Slovenia",,,,,,,,,,,
"Norðurland vestra, Iceland",,,,,,,,,,,
"Mosteiros, Cape Verde",,,,,,,,,,,
"Schaan, Liechtenstein",,,,,,,,,,,
"Aiga-i-le-Tai, Samoa",,,,,,,,,,,
"Kidričevo, Slovenia",,,,,,,,,,,
"Sant Julià de Lòria, Andorra",,,,,,,,,,,
"Au Cap, Seychelles",,,,,,,,,,,
"Plaisance, Seychelles",,,,,,,,,,,
"Radlje ob Dravi, Slovenia",,,,,,,,,,,
"Jegunovce, North Macedonia",,,,,,,,,,,
"Centar Župa, North Macedonia",,,,,,,,,,,
"Vestfirðir, Iceland",,,,,,,,,,,
"Baie Sainte Anne, Seychelles",,,,,,,,,,,
"Komenda, Slovenia",,,,,,,,,,,
"Saint Joseph, Barbados",,,,,,,,,,,
"Kosrae, Micronesia",,,,,,,,,,,
"Naklo, Slovenia",,,,,,,,,,,
"Zelenikovo, North Macedonia",,,,,,,,,,,
"Češinovo-Obleševo, North Macedonia",,,,,,,,,,,
"Duplek, Slovenia",,,,,,,,,,,
"Moravče, Slovenia",,,,,,,,,,,
"Mogila, North Macedonia",,,,,,,,,,,
"Lukovica, Slovenia",,,,,,,,,,,
"Saint Patrick, Saint Vincent and the Grenadines",,,,,,,,,,,
"Makedonski Brod, North Macedonia",,,,,,,,,,,
"Caué, São Tomé and Príncipe",,,,,,,,,,,
"Saint Pierre and Miquelon, France",,,,,,,,,,,
"Brava, Cape Verde",,,,,,,,,,,
"Choiseul, Saint Lucia",,,,,,,,,,,
"Tarrafal de São Nicolau, Cape Verde",,,,,,,,,,,
"Pivka, Slovenia",,,,,,,,,,,
"Dol pri Ljubljani, Slovenia",,,,,,,,,,,
"Kungota, Slovenia",,,,,,,,,,,
"Puconci, Slovenia",,,,,,,,,,,
"Kranjska Gora, Slovenia",,,,,,,,,,,
"Brda, Slovenia",,,,,,,,,,,
"Ha'apai, Tonga",,,,,,,,,,,
"Kanal, Slovenia",,,,,,,,,,,
"Videm, Slovenia",,,,,,,,,,,
"Mulakatholhu, Maldives",,,,,,,,,,,
"Saint David, Dominica",,,,,,,,,,,
"Ordino, Andorra",,,,,,,,,,,
"Saint Joseph, Dominica",,,,,,,,,,,
"Bohinj, Slovenia",,,,,,,,,,,
"Aust-Agder, Norway",,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha (UK), Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,
"Saint David, Saint Vincent and the Grenadines",,,,,,,,,,,
"Triesen, Liechtenstein",,,,,,,,,,,
"Šmartno pri Litiji, Slovenia",,,,,,,,,,,
"Southern Grenadine Islands, Grenada",,,,,,,,,,,
"Krivogaštani, North Macedonia",,,,,,,,,,,
"Vodice, Slovenia",,,,,,,,,,,
"Gagaifomauga, Samoa",,,,,,,,,,,
"Vaduz, Liechtenstein",,,,,,,,,,,
"Cascade, Seychelles",,,,,,,,,,,
"Rače-Fram, Slovenia",,,,,,,,,,,
"Karbinci, North Macedonia",,,,,,,,,,,
"Anse Royale, Seychelles",,,,,,,,,,,
"Moravske Toplice, Slovenia",,,,,,,,,,,
"Velike Lašče, Slovenia",,,,,,,,,,,
"Žiri, Slovenia",,,,,,,,,,,
"Plasnica, North Macedonia",,,,,,,,,,,
"Mont Fleuri, Seychelles",,,,,,,,,,,
"Hajdina, Slovenia",,,,,,,,,,,
"Hiiumaa, Estonia",,,,,,,,,,,
"Nilandheatholhu Uthuruburi, Maldives",,,,,,,,,,,
"Saint Eustatius, Netherlands",,,,,,,,,,,
"Mauren, Liechtenstein",,,,,,,,,,,
"Vianden, Luxembourg",,,,,,,,,,,
"Hrpelje-Kozina, Slovenia",,,,,,,,,,,
"Trzin, Slovenia",,,,,,,,,,,
"Vipava, Slovenia",,,,,,,,,,,
"Balzers, Liechtenstein",,,,,,,,,,,
"Demir Kapija, North Macedonia",,,,,,,,,,,
"Satupa'itea, Samoa",,,,,,,,,,,
"Gusinje, Montenegro",,,,,,,,,,,
"Radenci, Slovenia",,,,,,,,,,,
"Cerkno, Slovenia",,,,,,,,,,,
"Ankaran, Slovenia",,,,,,,,,,,
"Log-Dragomer, Slovenia",,,,,,,,,,,
"Kommune Qeqertalik, Greenland",,,,,,,,,,,
"Beau Vallon, Seychelles",,,,,,,,,,,
"Muta, Slovenia",,,,,,,,,,,
"North Abaco, The Bahamas",,,,,,,,,,,
"Montserrat (UK), Montserrat",,,,,,,,,,,
"Saint Peter, Antigua and Barbuda",,,,,,,,,,,
"Grand Anse Praslin, Seychelles",,,,,,,,,,,
"Žirovnica, Slovenia",,,,,,,,,,,
"Mislinja, Slovenia",,,,,,,,,,,
"Anse Boileau, Seychelles",,,,,,,,,,,
"Mozirje, Slovenia",,,,,,,,,,,
"Saint Andrew, Barbados",,,,,,,,,,,
"Žužemberk, Slovenia",,,,,,,,,,,
"North Eleuthera, The Bahamas",,,,,,,,,,,
"Poljčane, Slovenia",,,,,,,,,,,
"Straža, Slovenia",,,,,,,,,,,
"Miren-Kostanjevica, Slovenia",,,,,,,,,,,
"Debrca, North Macedonia",,,,,,,,,,,
"Pehčevo, North Macedonia",,,,,,,,,,,
"Gradsko, North Macedonia",,,,,,,,,,,
"Andrijevica, Montenegro",,,,,,,,,,,
"Šentrupert, Slovenia",,,,,,,,,,,
"Majšperk, Slovenia",,,,,,,,,,,
"Apače, Slovenia",,,,,,,,,,,
"Prebold, Slovenia",,,,,,,,,,,
"Radeče, Slovenia",,,,,,,,,,,
"Braslovče, Slovenia",,,,,,,,,,,
"Oplotnica, Slovenia",,,,,,,,,,,
"Ruše, Slovenia",,,,,,,,,,,
"Baie Lazare, Seychelles",,,,,,,,,,,
"Eschen, Liechtenstein",,,,,,,,,,,
"Loška dolina, Slovenia",,,,,,,,,,,
"Kobarid, Slovenia",,,,,,,,,,,
"Rennell and Bellona, Solomon Islands",,,,,,,,,,,
"Bel Ombre, Seychelles",,,,,,,,,,,
"Dobrepolje, Slovenia",,,,,,,,,,,
"Semič, Slovenia",,,,,,,,,,,
"Saint Mark, Grenada",,,,,,,,,,,
"Starše, Slovenia",,,,,,,,,,,
"Grand Anse Mahe, Seychelles",,,,,,,,,,,
"Tišina, Slovenia",,,,,,,,,,,
"Rosoman, North Macedonia",,,,,,,,,,,
"Miklavž na Dravskem polju, Slovenia",,,,,,,,,,,
"Preddvor, Slovenia",,,,,,,,,,,
"Komen, Slovenia",,,,,,,,,,,
"Aiwo, Nauru",,,,,,,,,,,
"Pointe Larue, Seychelles",,,,,,,,,,,
"Falkland Islands (Malvinas) (UK), Falkland Islands",,,,,,,,,,,
"Konče, North Macedonia",,,,,,,,,,,
"Gorje, Slovenia",,,,,,,,,,,
"Črenšovci, Slovenia",,,,,,,,,,,
"Šmartno ob Paki, Slovenia",,,,,,,,,,,
"Dolenjske Toplice, Slovenia",,,,,,,,,,,
"Divača, Slovenia",,,,,,,,,,,
"Čučer Sandevo, North Macedonia",,,,,,,,,,,
"Gorišnica, Slovenia",,,,,,,,,,,
"La Digue, Seychelles",,,,,,,,,,,
"Križevci, Slovenia",,,,,,,,,,,
"Borovnica, Slovenia",,,,,,,,,,,
"Škocjan, Slovenia",,,,,,,,,,,
"Hope Town, The Bahamas",,,,,,,,,,,
"Šmarješke Toplice, Slovenia",,,,,,,,,,,
"Podčetrtek, Slovenia",,,,,,,,,,,
"Renče-Vogrsko, Slovenia",,,,,,,,,,,
"Airai, Palau",,,,,,,,,,,
"Mežica, Slovenia",,,,,,,,,,,
"Holy See (Vatican City State), Vatican City",,,,,,,,,,,
"Rogašovci, Slovenia",,,,,,,,,,,
"Markovci, Slovenia",,,,,,,,,,,
"Dornava, Slovenia",,,,,,,,,,,
"Dojran, North Macedonia",,,,,,,,,,,
"Horjul, Slovenia",,,,,,,,,,,
"Bovec, Slovenia",,,,,,,,,,,
"Črna na Koroškem, Slovenia",,,,,,,,,,,
"Varakļānu novads, Latvia",,,,,,,,,,,
"Novaci, North Macedonia",,,,,,,,,,,
"Lovrenc na Pohorju, Slovenia",,,,,,,,,,,
"Anse aux Pins, Seychelles",,,,,,,,,,,
"Žabljak, Montenegro",,,,,,,,,,,
"Turnišče, Slovenia",,,,,,,,,,,
"Saint Philip, Antigua and Barbuda",,,,,,,,,,,
"Kangwŏn-do [Kangweonto], North Korea",,,,,,,,,,,
"Mokronog-Trebelno, Slovenia",,,,,,,,,,,
"Štore, Slovenia",,,,,,,,,,,
"Christmas Island (AU), Christmas Island",,,,,,,,,,,
"Svalbard and Jan Mayen (NO), Norway",,,,,,,,,,,
"Lozovo, North Macedonia",,,,,,,,,,,
"Takamaka, Seychelles",,,,,,,,,,,
"Kozje, Slovenia",,,,,,,,,,,
"Canaries, Saint Lucia",,,,,,,,,,,
"Port Glaud, Seychelles",,,,,,,,,,,
"Rankovce, North Macedonia",,,,,,,,,,,
"Triesenberg, Liechtenstein",,,,,,,,,,,
"Central Andros, The Bahamas",,,,,,,,,,,
"Gasa, Bhutan",,,,,,,,,,,
"Destrnik, Slovenia",,,,,,,,,,,
"Vransko, Slovenia",,,,,,,,,,,
"Ljubno, Slovenia",,,,,,,,,,,
"Mirna Peč, Slovenia",,,,,,,,,,,
"Gornji Grad, Slovenia",,,,,,,,,,,
"Glacis, Seychelles",,,,,,,,,,,
"Rogatec, Slovenia",,,,,,,,,,,
"Sveti Jurij ob Ščavnici, Slovenia",,,,,,,,,,,
"Long Island, The Bahamas",,,,,,,,,,,
"English River, Seychelles",,,,,,,,,,,
"Cirkulane, Slovenia",,,,,,,,,,,
"North Andros, The Bahamas",,,,,,,,,,,
"Les Mamelles, Seychelles",,,,,,,,,,,
"Dependencias Federales, Venezuela",,,,,,,,,,,
"Benedikt, Slovenia",,,,,,,,,,,
"Dobrna, Slovenia",,,,,,,,,,,
"Nazarje, Slovenia",,,,,,,,,,,
"Mirna, Slovenia",,,,,,,,,,,
"Sodražica, Slovenia",,,,,,,,,,,
"South Eleuthera, The Bahamas",,,,,,,,,,,
"Plužine, Montenegro",,,,,,,,,,,
"Ruggell, Liechtenstein",,,,,,,,,,,
"Sveta Ana, Slovenia",,,,,,,,,,,
"South Abaco, The Bahamas",,,,,,,,,,,
"Rečica ob Savinji, Slovenia",,,,,,,,,,,
"Juršinci, Slovenia",,,,,,,,,,,
"Podvelka, Slovenia",,,,,,,,,,,
"Zrnovci, North Macedonia",,,,,,,,,,,
"Sveti Tomaž, Slovenia",,,,,,,,,,,
"Norfolk Island (AU), Norfolk Island",,,,,,,,,,,
"Vitanje, Slovenia",,,,,,,,,,,
"Cerkvenjak, Slovenia",,,,,,,,,,,
"Makole, Slovenia",,,,,,,,,,,
"Središče ob Dravi, Slovenia",,,,,,,,,,,
"Central Eleuthera, The Bahamas",,,,,,,,,,,
"Saba, Netherlands",,,,,,,,,,,
"Sveti Jurij v Slovenskih goricah, Slovenia",,,,,,,,,,,
"Loški Potok, Slovenia",,,,,,,,,,,
"Grad, Slovenia",,,,,,,,,,,
"Kosanjevica na Krki, Slovenia",,,,,,,,,,,
"Sveta Trojica v Slovenskih goricah, Slovenia",,,,,,,,,,,
"Saint Luke, Dominica",,,,,,,,,,,
"Gornji Petrovci, Slovenia",,,,,,,,,,,
"Barbuda, Antigua and Barbuda",,,,,,,,,,,
"Odranci, Slovenia",,,,,,,,,,,
"Zavrč, Slovenia",,,,,,,,,,,
"Felidheatholhu, Maldives",,,,,,,,,,,
"Cankova, Slovenia",,,,,,,,,,,
"Ágion Óros, Greece",,,,,,,,,,,
"Podlehnik, Slovenia",,,,,,,,,,,
"Kuzma, Slovenia",,,,,,,,,,,
"Niuas, Tonga",,,,,,,,,,,
"Meneng, Nauru",,,,,,,,,,,
"Trnovska vas, Slovenia",,,,,,,,,,,
"Bimini, The Bahamas",,,,,,,,,,,
"Šalovci, Slovenia",,,,,,,,,,,
"Mont Buxton, Seychelles",,,,,,,,,,,
"Bloke, Slovenia",,,,,,,,,,,
"Luče, Slovenia",,,,,,,,,,,
"Gamprin, Liechtenstein",,,,,,,,,,,
"Niue, Niue",,,,,,,,,,,
"Saint Mark, Dominica",,,,,,,,,,,
"Baitsi, Nauru",,,,,,,,,,,
"Šavnik, Montenegro",,,,,,,,,,,
"Roche Caiman, Seychelles",,,,,,,,,,,
"Veržej, Slovenia",,,,,,,,,,,
"Bistrica ob Sotli, Slovenia",,,,,,,,,,,
"Rotuma, Fiji",,,,,,,,,,,
"Saint Peter, Dominica",,,,,,,,,,,
"Naso Tjër Di, Panama",,,,,,,,,,,
"Ngarchelong, Palau",,,,,,,,,,,
"Dobrovnik, Slovenia",,,,,,,,,,,
"Velika Polana, Slovenia",,,,,,,,,,,
"Vuzenica, Slovenia",,,,,,,,,,,
"Tabor, Slovenia",,,,,,,,,,,
"Razkrižje, Slovenia",,,,,,,,,,,
"Schellenberg, Liechtenstein",,,,,,,,,,,
"Cat Island, The Bahamas",,,,,,,,,,,
"Buada, Nauru",,,,,,,,,,,
"East Grand Bahama, The Bahamas",,,,,,,,,,,
"Žetale, Slovenia",,,,,,,,,,,
"Ribnica na Pohorju, Slovenia",,,,,,,,,,,
"Va'a-o-Fonoti, Samoa",,,,,,,,,,,
"Annobón, Equatorial Guinea",,,,,,,,,,,
"South Andros, The Bahamas",,,,,,,,,,,
"Bel Air, Seychelles",,,,,,,,,,,
"Vaitupu, Tuvalu",,,,,,,,,,,
"Sveti Andraž v Slovenskih goricah, Slovenia",,,,,,,,,,,
"Melekeok, Palau",,,,,,,,,,,
"Tokelau (NZ), Tokelau",,,,,,,,,,,
"Angaur, Palau",,,,,,,,,,,
"Black Point, The Bahamas",,,,,,,,,,,
"Petnjica, Montenegro",,,,,,,,,,,
"Dobje, Slovenia",,,,,,,,,,,
"Ngatpang, Palau",,,,,,,,,,,
"Anetan, Nauru",,,,,,,,,,,
"Peleliu, Palau",,,,,,,,,,,
"'Eua, Tonga",,,,,,,,,,,
"Harbour Island, The Bahamas",,,,,,,,,,,
"Inagua, The Bahamas",,,,,,,,,,,
"Kostel, Slovenia",,,,,,,,,,,
"San Salvador, The Bahamas",,,,,,,,,,,
"Denigomodu, Nauru",,,,,,,,,,,
"Jezersko, Slovenia",,,,,,,,,,,
"Ewa, Nauru",,,,,,,,,,,
"Yaren, Nauru",,,,,,,,,,,
"Berry Islands, The Bahamas",,,,,,,,,,,
"Outer Islands, Seychelles",,,,,,,,,,,
"Mangrove Cay, The Bahamas",,,,,,,,,,,
"Kobilje, Slovenia",,,,,,,,,,,
"Cocos (Keeling) Islands (AU), Cocos (Keeling) Islands",,,,,,,,,,,
"Chatham Islands Territory, New Zealand",,,,,,,,,,,
"Solčava, Slovenia",,,,,,,,,,,
"Aimeliik, Palau",,,,,,,,,,,
"Anabar, Nauru",,,,,,,,,,,
"Spanish Wells, The Bahamas",,,,,,,,,,,
"Acklins, The Bahamas",,,,,,,,,,,
"Planken, Liechtenstein",,,,,,,,,,,
"Osilnica, Slovenia",,,,,,,,,,,
"Niutao, Tuvalu",,,,,,,,,,,
"Ta'izz, Yemen",,,,,,,,,,,
"Moores Island, The Bahamas",,,,,,,,,,,
"Nui, Tuvalu",,,,,,,,,,,
"Anibare, Nauru",,,,,,,,,,,
"Nibok, Nauru",,,,,,,,,,,
"Nukufetau, Tuvalu",,,,,,,,,,,
"Inner Islands, Seychelles",,,,,,,,,,,
"Nanumea, Tuvalu",,,,,,,,,,,
"Hodoš, Slovenia",,,,,,,,,,,
"Ngaraard, Palau",,,,,,,,,,,
"Nanumaga, Tuvalu",,,,,,,,,,,
"Kayangel, Palau",,,,,,,,,,,
"Agalega Islands, Mauritius",,,,,,,,,,,
"Mayaguana, The Bahamas",,,,,,,,,,,
"Ijuw, Nauru",,,,,,,,,,,
"Crooked Island and Long Cay, The Bahamas",,,,,,,,,,,
"Sonsorol, Palau",,,,,,,,,,,
"Ngiwai, Palau",,,,,,,,,,,
"Nukulaelae, Tuvalu",,,,,,,,,,,
"Ngchesar, Palau",,,,,,,,,,,
"Grand Cay, The Bahamas",,,,,,,,,,,
"Ngeremlengui, Palau",,,,,,,,,,,
"Rum Cay, The Bahamas",,,,,,,,,,,
"Għajnsielem, Malta",,,,,,,,,,,
"Peñón de Alhucemas, Spain",,,,,,,,,,,
"Sogn og Fjordane, Norway",,,,,,,,,,,
"Pitcairn (UK), Pitcairn Islands",,,,,,,,,,,
"Isla Isabel II, Spain",,,,,,,,,,,
"Isla del Rey, Spain",,,,,,,,,,,
"Ngardmau, Palau",,,,,,,,,,,
"Ípeiros, Greece",,,,,,,,,,,
"Niulakita Island, Tuvalu",,,,,,,,,,,
"Qrendi, Malta",,,,,,,,,,,
"Ragged Island, The Bahamas",,,,,,,,,,,
"Isla Congreso, Spain",,,,,,,,,,,
