longname,High School %,Undergrad %,Grad %,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Nuwākshūţ, Mauritania",,,,,,,,,,,,
"Manitoba, Canada",,,,0.8767100659248264,0.2789566157588863,0.05530026580168438,,,,,,
"Boké, Guinea",,,,,,,,,,,,
"Palawan, Philippines",,,,,,,,,,,,
"Van, Turkey",,,,,,,,,,,,
"Comoé, Ivory Coast",,,,,,,,,,,,
"Tây Ninh, Vietnam",,,,,,,,,,,,
"Praha, Hlavní město, Czech Republic",,,,,,,,,,,,
"Cusco, Peru",,,,,,,,,,,,
"Midtjylland, Denmark",,,,,,,,,,,,
"Nagasaki, Japan",,,,,,,,,,,,
"Misiones, Argentina",,,,,,,,,,,,
"Atsimo-Atsinanana, Madagascar",,,,,,,,,,,,
"Al Qaşīm, Saudi Arabia",,,,,,,,,,,,
"Blida, Algeria",,,,,,,,,,,,
"Tolima, Colombia",,,,,,,,,,,,
"Khabarovskiy kray, Russia",,,,,,,,,,,,
"Mai-Ndombe, Democratic Republic of the Congo",,,,,,,,,,,,
"Boumerdès, Algeria",,,,,,,,,,,,
"Ūva paḷāta, Sri Lanka",,,,,,,,,,,,
"Northern Cape, South Africa",,,,,,,,,,,,
"Chlef, Algeria",,,,,,,,,,,,
"Jonglei, South Sudan",,,,,,,,,,,,
"Mzimba, Malawi",,,,,,,,,,,,
"Bīnshangul Gumuz, Ethiopia",,,,,,,,,,,,
"Minskaja voblasć, Belarus",,,,,,,,,,,,
"Quảng Ngãi, Vietnam",,,,,,,,,,,,
"Helmand, Afghanistan",,,,,,,,,,,,
"Lambayeque, Peru",,,,,,,,,,,,
"North East, Singapore",,,,,,,,,,,,
"Montevideo, Uruguay",,,,,,,,,,,,
"Gorontalo, Indonesia",,,,,,,,,,,,
"Mizoram, India",,,,,,,,,,,,
"Vladimirskaya oblast', Russia",,,,,,,,,,,,
"Jizzax, Uzbekistan",,,,,,,,,,,,
"Utrecht, Netherlands",,,,,,,,,,,,
"Bến Tre, Vietnam",,,,,,,,,,,,
"Norte de Santander, Colombia",,,,,,,,,,,,
"Shymkent, Kazakhstan",,,,,,,,,,,,
"Tshuapa, Democratic Republic of the Congo",,,,,,,,,,,,
"Blantyre, Malawi",,,,,,,,,,,,
"Chiang Rai, Thailand",,,,,,,,,,,,
"Ḩamāh, Syria",,,,,,,,,,,,
"Kordestān, Iran",,,,,,,,,,,,
"Daşoguz, Turkmenistan",,,,,,,,,,,,
"Aswān, Egypt",,,,,,,,,,,,
"Adamaoua, Cameroon",,,,,,,,,,,,
"Atlantique, Benin",,,,,,,,,,,,
"Ville de Kigali, Rwanda",,,,,,,,,,,,
"Munster, Ireland",,,,,,,,,,,,
"Jalal-Abad, Kyrgyzstan",,,,,,,,,,,,
"Magdalena, Colombia",,,,,,,,,,,,
"Uasin Gishu, Kenya",,,,,,,,,,,,
"Nara, Japan",,,,,,,,,,,,
"Cà Mau, Vietnam",,,,,,,,,,,,
"Bình Phước, Vietnam",,,,,,,,,,,,
"Maysān, Iraq",,,,,,,,,,,,
"Şan‘ā’, Yemen",,,,,,,,,,,,
"Hưng Yên, Vietnam",,,,,,,,,,,,
"Abruzzo, Italy",,,,,,,,,,,,
"North West, Singapore",,,,,,,,,,,,
"Aomori, Japan",,,,,,,,,,,,
"Savanes, Togo",,,,,,,,,,,,
"Machakos, Kenya",,,,,,,,,,,,
"Karnali, Nepal",,,,,,,,,,,,
"Cabinda, Angola",,,,,,,,,,,,
"Zakarpatska oblast, Ukraine",,,,,,,,,,,,
"Steiermark, Austria",,,,,,,,,,,,
"Ul'yanovskaya oblast', Russia",,,,,,,,,,,,
"Iwate, Japan",,,,,,,,,,,,
"Viciebskaja voblasć, Belarus",,,,,,,,,,,,
"Tverskaya oblast', Russia",,,,,,,,,,,,
"Dayr az Zawr, Syria",,,,,,,,,,,,
"Baghlān, Afghanistan",,,,,,,,,,,,
"Khmelnytska oblast, Ukraine",,,,,,,,,,,,
"Quiché, Guatemala",,,,,,,,,,,,
"Lebap, Turkmenistan",,,,,,,,,,,,
"Świętokrzyskie, Poland",,,,,,,,,,,,
"Lanao del Norte, Philippines",,,,,,,,,,,,
"Yaroslavskaya oblast', Russia",,,,,,,,,,,,
"Syddanmark, Denmark",,,,,,,,,,,,
"Bà Rịa - Vũng Tàu, Vietnam",,,,,,,,,,,,
"Bruxelles-Capitale: Région de, Belgium",,,,,,,,,,,,
"HaDarom, Israel",,,,,,,,,,,,
"An Nīl al Azraq, Sudan",,,,,,,,,,,,
"Central, Paraguay",,,,,,,,,,,,
"Alibori, Benin",,,,,,,,,,,,
"Bình Thuận, Vietnam",,,,,,,,,,,,
"Wādī Fīrā’, Chad",,,,,,,,,,,,
"Nord-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,
"Friuli Venezia Giulia, Italy",,,,,,,,,,,,
"South West, Singapore",,,,,,,,,,,,
"Hà Tĩnh, Vietnam",,,,,,,,,,,,
"Nord, Haiti",,,,,,,,,,,,
"Kahramanmaraş, Turkey",,,,,,,,,,,,
"Khánh Hòa, Vietnam",,,,,,,,,,,,
"Papua Barat, Indonesia",,,,,,,,,,,,
"Viken, Norway",,,,,,,,,,,,
"Central Equatoria, South Sudan",,,,,,,,,,,,
"Labé, Guinea",,,,,,,,,,,,
"El Callao, Peru",,,,,,,,,,,,
"San Marcos, Guatemala",,,,,,,,,,,,
"Analanjirofo, Madagascar",,,,,,,,,,,,
"Zhytomyrska oblast, Ukraine",,,,,,,,,,,,
"Táchira, Venezuela",,,,,,,,,,,,
"Mangochi, Malawi",,,,,,,,,,,,
"Pest, Hungary",,,,,,,,,,,,
"Illes Balears, Spain",,,,,,,,,,,,
"Bryanskaya oblast', Russia",,,,,,,,,,,,
"Kisumu, Kenya",,,,,,,,,,,,
"Boeny, Madagascar",,,,,,,,,,,,
"Cherkaska oblast, Ukraine",,,,,,,,,,,,
"Faranah, Guinea",,,,,,,,,,,,
"Buri Ram, Thailand",,,,,,,,,,,,
"Quảng Ninh, Vietnam",,,,,,,,,,,,
"Podlaskie, Poland",,,,,,,,,,,,
"Zamboanga del Sur, Philippines",,,,,,,,,,,,
"Chaco, Argentina",,,,,,,,,,,,
"Overijssel, Netherlands",,,,,,,,,,,,
"Zamboanga del Norte, Philippines",,,,,,,,,,,,
"Waddāy, Chad",,,,,,,,,,,,
"Chuvashskaya Respublika, Russia",,,,,,,,,,,,
"Laḩij, Yemen",,,,,,,,,,,,
"Tlemcen, Algeria",,,,,,,,,,,,
"Bishkek Shaary, Kyrgyzstan",,,,,,,,,,,,
"Haute-Matsiatra, Madagascar",,,,,,,,,,,,
"Jihomoravský kraj, Czech Republic",,,,,,,,,,,,
"Vĩnh Long, Vietnam",,,,,,,,,,,,
"Kirovskaya oblast', Russia",,,,,,,,,,,,
"Ouémé, Benin",,,,,,,,,,,,
"Kunduz, Afghanistan",,,,,,,,,,,,
"Boyacá, Colombia",,,,,,,,,,,,
"Maputo (Province), Mozambique",,,,,,,,,,,,
"Bas-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,
"Kitui, Kenya",,,,,,,,,,,,
"Valdesia, Dominican Republic",,,,,,,,,,,,
"Isikawa, Japan",,,,,,,,,,,,
"Narok, Kenya",,,,,,,,,,,,
"Bangui, Central African Republic",,,,,,,,,,,,
"Rivnenska oblast, Ukraine",,,,,,,,,,,,
"Osh, Kyrgyzstan",,,,,,,,,,,,
"Ôita, Japan",,,,,,,,,,,,
"Samut Sakhon, Thailand",,,,,,,,,,,,
"Aydin, Turkey",,,,,,,,,,,,
"Iringa, Tanzania",,,,,,,,,,,,
"Huila, Colombia",,,,,,,,,,,,
"Moravskoslezský kraj, Czech Republic",,,,,,,,,,,,
"Shabeellaha Dhexe, Somalia",,,,,,,,,,,,
"Pool, Congo",,,,,,,,,,,,
"Lūghūn ash Sharqī, Chad",,,,,,,,,,,,
"Alaotra Mangoro, Madagascar",,,,,,,,,,,,
"Tekirdağ, Turkey",,,,,,,,,,,,
"Maule, Chile",,,,,,,,,,,,
"Siem Reab [Siĕmréab], Cambodia",,,,,,,,,,,,
"Lipetskaya oblast', Russia",,,,,,,,,,,,
"Western, Zambia",,,,,,,,,,,,
"Thái Nguyên, Vietnam",,,,,,,,,,,,
"Cesar, Colombia",,,,,,,,,,,,
"Homa Bay, Kenya",,,,,,,,,,,,
"Mykolaivska oblast, Ukraine",,,,,,,,,,,,
"Masbate, Philippines",,,,,,,,,,,,
"Saskatchewan, Canada",,,,0.8922194226064084,0.24869669148947454,0.05527834339013174,,,,,,
"Būshehr, Iran",,,,,,,,,,,,
"Tizi Ouzou, Algeria",,,,,,,,,,,,
"Kericho, Kenya",,,,,,,,,,,,
"Alajuela, Costa Rica",,,,,,,,,,,,
"Skikda, Algeria",,,,,,,,,,,,
"Đà Nẵng, Vietnam",,,,,,,,,,,,
"Bono, Ghana",,,,,,,,,,,,
"Ancash, Peru",,,,,,,,,,,,
"Upper East, Ghana",,,,,,,,,,,,
"Central Singapore, Singapore",,,,,,,,,,,,
"Sơn La, Vietnam",,,,,,,,,,,,
"Androy, Madagascar",,,,,,,,,,,,
"Zhambyl oblysy, Kazakhstan",,,,,,,,,,,,
"Saint-Louis, Senegal",,,,,,,,,,,,
"Terengganu, Malaysia",,,,,,,,,,,,
"Corrientes, Argentina",,,,,,,,,,,,
"Trans Nzoia, Kenya",,,,,,,,,,,,
"Qazvīn, Iran",,,,,,,,,,,,
"Bắc Ninh, Vietnam",,,,,,,,,,,,
"Turkana, Kenya",,,,,,,,,,,,
"'Adan, Yemen",,,,,,,,,,,,
"Ryazanskaya oblast', Russia",,,,,,,,,,,,
"Limburg, Netherlands",,,,,,,,,,,,
"Tiaret, Algeria",,,,,,,,,,,,
"Zabaykal'skiy kray, Russia",,,,,,,,,,,,
"Migori, Kenya",,,,,,,,,,,,
"Miyazaki, Japan",,,,,,,,,,,,
"Loreto, Peru",,,,,,,,,,,,
"Vologodskaya oblast', Russia",,,,,,,,,,,,
"Yamagata, Japan",,,,,,,,,,,,
"Rhode Island, USA",0.895888524036059,0.33752309043037154,0.13742387344645252,,,,0.14852922426680543,0.1248405983761413,0.06415326778742392,0.008956686434590577,0.014694195118079123,0.009548977136274645
"Constantine, Algeria",,,,,,,,,,,,
"Sava, Madagascar",,,,,,,,,,,,
"Māyū Kībbī ash Sharqī, Chad",,,,,,,,,,,,
"Ḩawallī, Kuwait",,,,,,,,,,,,
"Bono East, Ghana",,,,,,,,,,,,
"Şā‘dah, Yemen",,,,,,,,,,,,
"Thừa Thiên-Huế, Vietnam",,,,,,,,,,,,
"Montana, USA",0.9460557074622504,0.32144707867856487,0.10799222567548492,,,,0.1473564609677958,0.12263625859993262,0.051454359110839565,0.01366960494350633,0.022330827625133498,0.0064066374212910365
"Kurskaya oblast', Russia",,,,,,,,,,,,
"La Guajira, Colombia",,,,,,,,,,,,
"Uíge, Angola",,,,,,,,,,,,
"Makueni, Kenya",,,,,,,,,,,,
"La Araucanía, Chile",,,,,,,,,,,,
"Louga, Senegal",,,,,,,,,,,,
"Diana, Madagascar",,,,,,,,,,,,
"Denizli, Turkey",,,,,,,,,,,,
"Negeri Sembilan, Malaysia",,,,,,,,,,,,
"Sfax, Tunisia",,,,,,,,,,,,
"Los Lagos, Chile",,,,,,,,,,,,
"Republika Srpska, Bosnia and Herzegovina",,,,,,,,,,,,
"Viangchan, Laos",,,,,,,,,,,,
"Santiago de Cuba, Cuba",,,,,,,,,,,,
"Sakarya, Turkey",,,,,,,,,,,,
"Qom, Iran",,,,,,,,,,,,
"Mahilioŭskaja voblasć, Belarus",,,,,,,,,,,,
"Ulsan-gwangyeoksi, South Korea",,,,,,,,,,,,
"Arkhangel'skaya oblast', Russia",,,,,,,,,,,,
"Sultan Kudarat, Philippines",,,,,,,,,,,,
"Al Lādhiqīyah, Syria",,,,,,,,,,,,
"Kaolack, Senegal",,,,,,,,,,,,
"Ghōr, Afghanistan",,,,,,,,,,,,
"Maguindanao, Philippines",,,,,,,,,,,,
"Sumska oblast, Ukraine",,,,,,,,,,,,
"Hrodzienskaja voblasć, Belarus",,,,,,,,,,,,
"Zanzan, Ivory Coast",,,,,,,,,,,,
"Savannakhét, Laos",,,,,,,,,,,,
"Muğla, Turkey",,,,,,,,,,,,
"Toyama, Japan",,,,,,,,,,,,
"Ternopilska oblast, Ukraine",,,,,,,,,,,,
"Kaluzhskaya oblast', Russia",,,,,,,,,,,,
"Khōst, Afghanistan",,,,,,,,,,,,
"Trentino-Alto Adige, Italy",,,,,,,,,,,,
"Holguín, Cuba",,,,,,,,,,,,
"Thessalía, Greece",,,,,,,,,,,,
"Lindi, Tanzania",,,,,,,,,,,,
"Roi Et, Thailand",,,,,,,,,,,,
"Tambovskaya oblast', Russia",,,,,,,,,,,,
"Murang'a, Kenya",,,,,,,,,,,,
"Lubuskie, Poland",,,,,,,,,,,,
"Udon Thani, Thailand",,,,,,,,,,,,
"Khersonska oblast, Ukraine",,,,,,,,,,,,
"Astrakhanskaya oblast', Russia",,,,,,,,,,,,
"Gilgit-Baltistan, Pakistan",,,,,,,,,,,,
"Muyinga, Burundi",,,,,,,,,,,,
"Darٰā, Syria",,,,,,,,,,,,
"Monagas, Venezuela",,,,,,,,,,,,
"Bay, Somalia",,,,,,,,,,,,
"Chahār Maḩāl va Bakhtīārī, Iran",,,,,,,,,,,,
"Surat Thani, Thailand",,,,,,,,,,,,
"Lunda-Norte, Angola",,,,,,,,,,,,
"Woroba, Ivory Coast",,,,,,,,,,,,
"Estuaire, Gabon",,,,,,,,,,,,
"Fatick, Senegal",,,,,,,,,,,,
"Upper Nile, South Sudan",,,,,,,,,,,,
"Tombouctou, Mali",,,,,,,,,,,,
"Phú Thọ, Vietnam",,,,,,,,,,,,
"Bern, Switzerland",,,,,,,,,,,,
"Tomskaya oblast', Russia",,,,,,,,,,,,
"Ar Rayyān, Qatar",,,,,,,,,,,,
"Cascades, Burkina Faso",,,,,,,,,,,,
"Mostaganem, Algeria",,,,,,,,,,,,
"Nandi, Kenya",,,,,,,,,,,,
"Asturias, Principado de, Spain",,,,,,,,,,,,
"Volynska oblast, Ukraine",,,,,,,,,,,,
"Chandigarh, India",,,,,,,,,,,,
"Mindoro Oriental, Philippines",,,,,,,,,,,,
"Nakhon Pathom, Thailand",,,,,,,,,,,,
"Lop Buri, Thailand",,,,,,,,,,,,
"Yerushalayim, Israel",,,,,,,,,,,,
"Uturu paḷāta, Sri Lanka",,,,,,,,,,,,
"Bujumbura Mairie, Burundi",,,,,,,,,,,,
"Gitega, Burundi",,,,,,,,,,,,
"Zou, Benin",,,,,,,,,,,,
"Aşgabat, Turkmenistan",,,,,,,,,,,,
"Béjaïa, Algeria",,,,,,,,,,,,
"Otdar Mean Chey [Ŏtdâr Méan Choăy], Cambodia",,,,,,,,,,,,
"Kaliningradskaya oblast', Russia",,,,,,,,,,,,
"Libertador General Bernardo O'Higgins, Chile",,,,,,,,,,,,
"Saarland, Germany",,,,,,,,,,,,
"Santiago del Estero, Argentina",,,,,,,,,,,,
"Al Balqā’, Jordan",,,,,,,,,,,,
"Tabūk, Saudi Arabia",,,,,,,,,,,,
"Delaware, USA",0.9134375727165323,0.3254902767685671,0.13744205466412945,,,,0.14275755878360366,0.11181716741094459,0.0709155505740188,0.027626067830817003,0.028343773777575243,0.016607699882343258
"Akita, Japan",,,,,,,,,,,,
"Biskra, Algeria",,,,,,,,,,,,
"South East, Singapore",,,,,,,,,,,,
"East, Cameroon",,,,,,,,,,,,
"Baja California Sur, Mexico",,,,,,,,,,,,
"Lima, Peru",,,,,,,,,,,,
"Aïn Defla, Algeria",,,,,,,,,,,,
"L'Ariana, Tunisia",,,,,,,,,,,,
"Tiranë, Albania",,,,,,,,,,,,
"Yazd, Iran",,,,,,,,,,,,
"Siaya, Kenya",,,,,,,,,,,,
"Extremadura, Spain",,,,,,,,,,,,
"Kara, Togo",,,,,,,,,,,,
"Kagawa, Japan",,,,,,,,,,,,
"Muchinga, Zambia",,,,,,,,,,,,
"Kirundo, Burundi",,,,,,,,,,,,
"Falcón, Venezuela",,,,,,,,,,,,
"Nova Scotia, Canada",,,,0.8998764047268213,0.289498190444462,0.07577755342747222,,,,,,
"Ivanovskaya oblast', Russia",,,,,,,,,,,,
"Campeche, Mexico",,,,,,,,,,,,
"Phitsanulok, Thailand",,,,,,,,,,,,
"Western, The Gambia",,,,,,,,,,,,
"Buryatiya, Respublika, Russia",,,,,,,,,,,,
"Ninh Bình, Vietnam",,,,,,,,,,,,
"Réunion, France",,,,,,,,,,,,
"Nay Pyi Taw, Myanmar",,,,,,,,,,,,
"Sucre, Venezuela",,,,,,,,,,,,
"Mascara, Algeria",,,,,,,,,,,,
"Opolskie, Poland",,,,,,,,,,,,
"Centre-Sud, Burkina Faso",,,,,,,,,,,,
"Ash Shamālīyah, Sudan",,,,,,,,,,,,
"Zomba, Malawi",,,,,,,,,,,,
"Ad Dawḩah, Qatar",,,,,,,,,,,,
"H̱efa, Israel",,,,,,,,,,,,
"Al Jafārah, Libya",,,,,,,,,,,,
"Trà Vinh, Vietnam",,,,,,,,,,,,
"Likouala, Congo",,,,,,,,,,,,
"Sakon Nakhon, Thailand",,,,,,,,,,,,
"Vĩnh Phúc, Vietnam",,,,,,,,,,,,
"Eskişehir, Turkey",,,,,,,,,,,,
"Quetzaltenango, Guatemala",,,,,,,,,,,,
"Los Ríos, Ecuador",,,,,,,,,,,,
"Melaka, Malaysia",,,,,,,,,,,,
"San Martín, Peru",,,,,,,,,,,,
"Smolenskaya oblast', Russia",,,,,,,,,,,,
"Potosí, Bolivia",,,,,,,,,,,,
"Banghāzī, Libya",,,,,,,,,,,,
"Thyolo, Malawi",,,,,,,,,,,,
"Sakha, Respublika, Russia",,,,,,,,,,,,
"Plateau Central, Burkina Faso",,,,,,,,,,,,
"Nord-Ouest, Haiti",,,,,,,,,,,,
"Kasungu, Malawi",,,,,,,,,,,,
"Risaralda, Colombia",,,,,,,,,,,,
"Zambales, Philippines",,,,,,,,,,,,
"Kayanza, Burundi",,,,,,,,,,,,
"Dedza, Malawi",,,,,,,,,,,,
"Mordoviya, Respublika, Russia",,,,,,,,,,,,
"Mubende, Uganda",,,,,,,,,,,,
"North-Western, Zambia",,,,,,,,,,,,
"Lūghūn al Gharbī, Chad",,,,,,,,,,,,
"Navoiy, Uzbekistan",,,,,,,,,,,,
"Al Muthanná, Iraq",,,,,,,,,,,,
"Benguet, Philippines",,,,,,,,,,,,
"Al Bayḑā’, Yemen",,,,,,,,,,,,
"Rayong, Thailand",,,,,,,,,,,,
"Al Farwānīyah, Kuwait",,,,,,,,,,,,
"Toshkent (City), Uzbekistan",,,,,,,,,,,,
"Suphan Buri, Thailand",,,,,,,,,,,,
"Janūb Kurdufān, Sudan",,,,,,,,,,,,
"Zaire, Angola",,,,,,,,,,,,
"Barinas, Venezuela",,,,,,,,,,,,
"Qāsh-Barkah, Eritrea",,,,,,,,,,,,
"Bạc Liêu, Vietnam",,,,,,,,,,,,
"Matebeleland North, Zimbabwe",,,,,,,,,,,,
"Kirovohradska oblast, Ukraine",,,,,,,,,,,,
"Setúbal, Portugal",,,,,,,,,,,,
"Meta, Colombia",,,,,,,,,,,,
"Al ‘Āşimah, Kuwait",,,,,,,,,,,,
"Atacora, Benin",,,,,,,,,,,,
"Tbong Khmum [Tbong Khmŭm], Cambodia",,,,,,,,,,,,
"Khorāsān-e Shomālī, Iran",,,,,,,,,,,,
"Menabe, Madagascar",,,,,,,,,,,,
"Portuguesa, Venezuela",,,,,,,,,,,,
"Relizane, Algeria",,,,,,,,,,,,
"Médéa, Algeria",,,,,,,,,,,,
"Busia, Kenya",,,,,,,,,,,,
"Zanjān, Iran",,,,,,,,,,,,
"Nakhon Sawan, Thailand",,,,,,,,,,,,
"Bādghīs, Afghanistan",,,,,,,,,,,,
"Phú Yên, Vietnam",,,,,,,,,,,,
"Caldas, Colombia",,,,,,,,,,,,
"Umbria, Italy",,,,,,,,,,,,
"Kwale, Kenya",,,,,,,,,,,,
"South, Cameroon",,,,,,,,,,,,
"Acre, Brazil",,,,,,,,,,,,
"Kalasin, Thailand",,,,,,,,,,,,
"Māndūl, Chad",,,,,,,,,,,,
"Azuay, Ecuador",,,,,,,,,,,,
"Sorsogon, Philippines",,,,,,,,,,,,
"Hà Nam, Vietnam",,,,,,,,,,,,
"Ouargla, Algeria",,,,,,,,,,,,
"Aqtöbe oblysy, Kazakhstan",,,,,,,,,,,,
"South Dakota, USA",0.9286447139810462,0.28661511985046273,0.09009329479673707,,,,0.12259907940350408,0.10955757021812619,0.05445847022883147,0.01435011778377171,0.033491005712738164,0.008110755137417519
"Mjini Magharibi, Tanzania",,,,,,,,,,,,
"Sud-Ouest, Burkina Faso",,,,,,,,,,,,
"Bomet, Kenya",,,,,,,,,,,,
"Surin, Thailand",,,,,,,,,,,,
"Mardin, Turkey",,,,,,,,,,,,
"Aqmola oblysy, Kazakhstan",,,,,,,,,,,,
"Wakayama, Japan",,,,,,,,,,,,
"Diffa, Niger",,,,,,,,,,,,
"Quảng Bình, Vietnam",,,,,,,,,,,,
"Parwān, Afghanistan",,,,,,,,,,,,
"Samar, Philippines",,,,,,,,,,,,
"Huánuco, Peru",,,,,,,,,,,,
"Amapá, Brazil",,,,,,,,,,,,
"Prey Veaeng [Prey Vêng], Cambodia",,,,,,,,,,,,
"Ngozi, Burundi",,,,,,,,,,,,
"Jubbada Hoose, Somalia",,,,,,,,,,,,
"Njombe, Tanzania",,,,,,,,,,,,
"Tambacounda, Senegal",,,,,,,,,,,,
"Coquimbo, Chile",,,,,,,,,,,,
"Zamboanga City, Philippines",,,,,,,,,,,,
"Al ‘Āşimah, Bahrain",,,,,,,,,,,,
"Shimālī al Baḩrī al Aḩmar, Eritrea",,,,,,,,,,,,
"Nabeul, Tunisia",,,,,,,,,,,,
"Kasese, Uganda",,,,,,,,,,,,
"Centrale, Togo",,,,,,,,,,,,
"Centre, Haiti",,,,,,,,,,,,
"Ar Raqqah, Syria",,,,,,,,,,,,
"Bouira, Algeria",,,,,,,,,,,,
"Alto Paraná, Paraguay",,,,,,,,,,,,
"Tānjīlī, Chad",,,,,,,,,,,,
"Phra Nakhon Si Ayutthaya, Thailand",,,,,,,,,,,,
"La Union, Philippines",,,,,,,,,,,,
"Si sa ket, Thailand",,,,,,,,,,,,
"Champasak, Laos",,,,,,,,,,,,
"Mila, Algeria",,,,,,,,,,,,
"Sucre, Colombia",,,,,,,,,,,,
"Jijel, Algeria",,,,,,,,,,,,
"Kabardino-Balkarskaya Respublika, Russia",,,,,,,,,,,,
"Sud, Haiti",,,,,,,,,,,,
"Taakaev [Takêv], Cambodia",,,,,,,,,,,,
"Qostanay oblysy, Kazakhstan",,,,,,,,,,,,
"Granma, Cuba",,,,,,,,,,,,
"Petén, Guatemala",,,,,,,,,,,,
"Davao de Oro, Philippines",,,,,,,,,,,,
"Vilniaus apskritis, Lithuania",,,,,,,,,,,,
"Mamou, Guinea",,,,,,,,,,,,
"Prešovský kraj, Slovakia",,,,,,,,,,,,
"Katavi, Tanzania",,,,,,,,,,,,
"Saga, Japan",,,,,,,,,,,,
"Paktiyā, Afghanistan",,,,,,,,,,,,
"Agusan del Sur, Philippines",,,,,,,,,,,,
"Phetchabun, Thailand",,,,,,,,,,,,
"Saraburi, Thailand",,,,,,,,,,,,
"Collines, Benin",,,,,,,,,,,,
"Chüy, Kyrgyzstan",,,,,,,,,,,,
"Shārī al Awsaṭ, Chad",,,,,,,,,,,,
"Western North, Ghana",,,,,,,,,,,,
"Kamphaeng Phet, Thailand",,,,,,,,,,,,
"Ica, Peru",,,,,,,,,,,,
"Ahal, Turkmenistan",,,,,,,,,,,,
"Gharb Dārfūr, Sudan",,,,,,,,,,,,
"Bataan, Philippines",,,,,,,,,,,,
"Vaud, Switzerland",,,,,,,,,,,,
"Yamanasi, Japan",,,,,,,,,,,,
"Kolda, Senegal",,,,,,,,,,,,
"Oum el Bouaghi, Algeria",,,,,,,,,,,,
"Matebeleland South, Zimbabwe",,,,,,,,,,,,
"Shamāl al Bāţinah, Oman",,,,,,,,,,,,
"Upper West, Ghana",,,,,,,,,,,,
"Al Janūbī, Eritrea",,,,,,,,,,,,
"Košický kraj, Slovakia",,,,,,,,,,,,
"Gao, Mali",,,,,,,,,,,,
"Capiz, Philippines",,,,,,,,,,,,
"Shārī Bāqirmī, Chad",,,,,,,,,,,,
"Sirdaryo, Uzbekistan",,,,,,,,,,,,
"Phuket, Thailand",,,,,,,,,,,,
"Litoral, Equatorial Guinea",,,,,,,,,,,,
"Chaiyaphum, Thailand",,,,,,,,,,,,
"Liban-Sud, Lebanon",,,,,,,,,,,,
"Ḥajjar Lamīs, Chad",,,,,,,,,,,,
"Kurganskaya oblast', Russia",,,,,,,,,,,,
"Northern Samar, Philippines",,,,,,,,,,,,
"Agusan del Norte, Philippines",,,,,,,,,,,,
"Kanchanaburi, Thailand",,,,,,,,,,,,
"Colima, Mexico",,,,,,,,,,,,
"Banteay Mean Choăy [Bântéay Méanchey], Cambodia",,,,,,,,,,,,
"Ústecký kraj, Czech Republic",,,,,,,,,,,,
"El Oued, Algeria",,,,,,,,,,,,
"Al Maḩwīt, Yemen",,,,,,,,,,,,
"Tbilisi, Georgia",,,,,,,,,,,,
"Sjælland, Denmark",,,,,,,,,,,,
"Māyū Kībbī al Gharbī, Chad",,,,,,,,,,,,
"Lampang, Thailand",,,,,,,,,,,,
"Bordj Bou Arréridj, Algeria",,,,,,,,,,,,
"Mulanje, Malawi",,,,,,,,,,,,
"Ryanggang-do [Ryangkangto], North Korea",,,,,,,,,,,,
"Kampong Spueu [Kâmpóng Spœ], Cambodia",,,,,,,,,,,,
"Ţarābulus, Libya",,,,,,,,,,,,
"Eastern Highlands, Papua New Guinea",,,,,,,,,,,,
"Malatya, Turkey",,,,,,,,,,,,
"Mérida, Venezuela",,,,,,,,,,,,
"Sousse, Tunisia",,,,,,,,,,,,
"Qīrā, Chad",,,,,,,,,,,,
"Farāh, Afghanistan",,,,,,,,,,,,
"Morobe, Papua New Guinea",,,,,,,,,,,,
"Soltüstik Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,
"Hukui, Japan",,,,,,,,,,,,
"Qyzylorda oblysy, Kazakhstan",,,,,,,,,,,,
"Grad Zagreb, Croatia",,,,,,,,,,,,
"Amurskaya oblast', Russia",,,,,,,,,,,,
"La Libertad, El Salvador",,,,,,,,,,,,
"Hoima, Uganda",,,,,,,,,,,,
"Chachoengsao, Thailand",,,,,,,,,,,,
"Būr Sa‘īd, Egypt",,,,,,,,,,,,
"Dowa, Malawi",,,,,,,,,,,,
"North Dakota, USA",0.9354707446353834,0.29877023362234956,0.08511615395959653,,,,0.12642091269275374,0.11269240255750844,0.059656918372087454,0.011373506649224874,0.058862649823765545,0.02212458537619172
"Ilocos Sur, Philippines",,,,,,,,,,,,
"Lanao del Sur, Philippines",,,,,,,,,,,,
"Braga, Portugal",,,,,,,,,,,,
"Anosy, Madagascar",,,,,,,,,,,,
"Camagüey, Cuba",,,,,,,,,,,,
"Annaba, Algeria",,,,,,,,,,,,
"New Brunswick, Canada",,,,0.8899204119250039,0.22406882607474296,0.050138709106854355,,,,,,
"Central, Botswana",,,,,,,,,,,,
"Mangghystaū oblysy, Kazakhstan",,,,,,,,,,,,
"Escuintla, Guatemala",,,,,,,,,,,,
"Komi, Respublika, Russia",,,,,,,,,,,,
"Erzurum, Turkey",,,,,,,,,,,,
"Jujuy, Argentina",,,,,,,,,,,,
