longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Durango, Mexico",,,,,,,,,,,,,,,,,,,,
"Hatay, Turkey",,,,,,,,,,,,,,,,,,,,
"Hukusima, Japan",,,,,,,,,,,,,,,,,,,,
"Piura, Peru",,,,,,,,,,,,,,,,,,,,
"Simiyu, Tanzania",,,,,,,,,,,,,,,,,,,,
"Wien, Austria",,,,,,,,,,,,,,,,,,,,
"Az Zarqā’, Jordan",,,,,,,,,,,,,,,,,,,,
"North-West, Cameroon",,,,,,,,,,,,,,,,,,,,
"Buxoro, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Vojvodina, Serbia",,,,,,,,,,,,,,,,,,,,
"Kiambu, Kenya",,,,,,,,,,,,,,,,,,,,
"Shabeellaha Hoose, Somalia",,,,,,,,,,,,,,,,,,,,
"Northern Ireland, United Kingdom",,,,,,,,,,,,,,,,,,,,
"Orenburgskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Rakhine, Myanmar",,,,,,,,,,,,,,,,,,,,
"Boucle du Mouhoun, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Équateur, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Phnom Penh [Phnum Pénh], Cambodia",,,,,,,,,,,,,,,,,,,,
"Primorskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Avtonomna Respublika Krym, Ukraine",,,,,,,,,,,,,,,,,,,,
"Dimashq, Syria",,,,,,,,,,,,,,,,,,,,
"Okayama, Japan",,,,,,,,,,,,,,,,,,,,
"Woqooyi Galbeed, Somalia",,,,,,,,,,,,,,,,,,,,
"Misamis Oriental, Philippines",,,,,,,,,,,,,,,,,,,,
"Totigi, Japan",,,,,,,,,,,,,,,,,,,,
"South-West, Cameroon",,,,,,,,,,,,,,,,,,,,
"Beograd, Serbia",,,,,,,,,,,,,,,,,,,,
"Bengkulu, Indonesia",,,,,,,,,,,,,,,,,,,,
"Singida, Tanzania",,,,,,,,,,,,,,,,,,,,
"Gôh-Djiboua, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Hải Phòng, Vietnam",,,,,,,,,,,,,,,,,,,,
"Volta, Ghana",,,,,,,,,,,,,,,,,,,,
"Vakinankaratra, Madagascar",,,,,,,,,,,,,,,,,,,,
"Diyālá, Iraq",,,,,,,,,,,,,,,,,,,,
"Western Area, Sierra Leone",,,,,,,,,,,,,,,,,,,,
"Isabela, Philippines",,,,,,,,,,,,,,,,,,,,
"Hovedstaden, Denmark",,,,,,,,,,,,,,,,,,,,
"Gunma, Japan",,,,,,,,,,,,,,,,,,,,
"Gharb Kurdufān, Sudan",,,,,,,,,,,,,,,,,,,,
"Omskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Masvingo, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Chernihivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Bucureşti, Romania",,,,,,,,,,,,,,,,,,,,
"Manyara, Tanzania",,,,,,,,,,,,,,,,,,,,
"Nzérékoré, Guinea",,,,,,,,,,,,,,,,,,,,
"Lorestān, Iran",,,,,,,,,,,,,,,,,,,,
"Sinnār, Sudan",,,,,,,,,,,,,,,,,,,,
"Tiền Giang, Vietnam",,,,,,,,,,,,,,,,,,,,
"Vatovavy-Fitovinany, Madagascar",,,,,,,,,,,,,,,,,,,,
"Thái Bình, Vietnam",,,,,,,,,,,,,,,,,,,,
"Córdoba, Colombia",,,,,,,,,,,,,,,,,,,,
"Long An, Vietnam",,,,,,,,,,,,,,,,,,,,
"Oran, Algeria",,,,,,,,,,,,,,,,,,,,
"Kiến Giang, Vietnam",,,,,,,,,,,,,,,,,,,,
"Irbid, Jordan",,,,,,,,,,,,,,,,,,,,
"Mersin, Turkey",,,,,,,,,,,,,,,,,,,,
"Kocaeli, Turkey",,,,,,,,,,,,,,,,,,,,
"Kentrikí Makedonía, Greece",,,,,,,,,,,,,,,,,,,,
"Valparaíso, Chile",,,,,,,,,,,,,,,,,,,,
"Xorazm, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Diourbel, Senegal",,,,,,,,,,,,,,,,,,,,
"Al Qādisīyah, Iraq",,,,,,,,,,,,,,,,,,,,
"Idaho, USA",0.8600915620806691,0.009792454500008334,0.0230065275056987,0.006264396271500218,0.09246861224128611,0.3802099531387525,,0.3683707678602522,,0.20314270804231635,,0.04827657095867902,,0.038175257684892425,0.9618247423151074,0.7102956775290266,0.0001235926586069536,1.0004861057492065e-05,2273.0,184.0
"Nam Ðịnh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Pwani, Tanzania",,,,,,,,,,,,,,,,,,,,
"Montserrado, Liberia",,,,,,,,,,,,,,,,,,,,
"Porto, Portugal",,,,,,,,,,,,,,,,,,,,
"Southern, Sierra Leone",,,,,,,,,,,,,,,,,,,,
"Ash Shāriqah, United Arab Emirates",,,,,,,,,,,,,,,,,,,,
"Balkh, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Pathum Thani, Thailand",,,,,,,,,,,,,,,,,,,,
"Qoraqalpog'iston Respublikasi, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Ḩimş, Syria",,,,,,,,,,,,,,,,,,,,
"Nonthaburi, Thailand",,,,,,,,,,,,,,,,,,,,
"Hamburg, Germany",,,,,,,,,,,,,,,,,,,,
"Sétif, Algeria",,,,,,,,,,,,,,,,,,,,
"Diyarbakır, Turkey",,,,,,,,,,,,,,,,,,,,
"Kwango, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Calabria, Italy",,,,,,,,,,,,,,,,,,,,
"Lara, Venezuela",,,,,,,,,,,,,,,,,,,,
"West Virginia, USA",0.8973814988856594,0.0017689710642694607,0.027100313150395263,0.007060658371548126,0.056634697014828254,0.2925581085867801,,0.36825316627325866,,0.2465353850667253,,0.09265334007323607,,0.0835950424971478,0.9164049575028522,0.5774587515483461,0.00015666221396601823,1.5275959653625976e-05,2810.0,274.0
"South Australia, Australia",,,,,,,,,,,,,,,,,,,,
"Kumamoto, Japan",,,,,,,,,,,,,,,,,,,,
"Songkhla, Thailand",,,,,,,,,,,,,,,,,,,,
"Budapest, Hungary",,,,,,,,,,,,,,,,,,,,
"Mashonaland East, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Mongala, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Ruvuma, Tanzania",,,,,,,,,,,,,,,,,,,,
"Khon Kaen, Thailand",,,,,,,,,,,,,,,,,,,,
"Kermānshāh, Iran",,,,,,,,,,,,,,,,,,,,
"Markazī, Iran",,,,,,,,,,,,,,,,,,,,
"Hormozgān, Iran",,,,,,,,,,,,,,,,,,,,
"Jeollabuk-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Bukidnon, Philippines",,,,,,,,,,,,,,,,,,,,
"Auckland, New Zealand",,,,,,,,,,,,,,,,,,,,
"Drâa-Tafilalet, Morocco",,,,,,,,,,,,,,,,,,,,
"Hải Dương, Vietnam",,,,,,,,,,,,,,,,,,,,
"Biobío, Chile",,,,,,,,,,,,,,,,,,,,
"Atsimo-Andrefana, Madagascar",,,,,,,,,,,,,,,,,,,,
"Golestān, Iran",,,,,,,,,,,,,,,,,,,,
"Bình Dương, Vietnam",,,,,,,,,,,,,,,,,,,,
"Arunāchal Pradesh, India",,,,,,,,,,,,,,,,,,,,
"Al Qaḑārif, Sudan",,,,,,,,,,,,,,,,,,,,
"Rondônia, Brazil",,,,,,,,,,,,,,,,,,,,
"Central, Zambia",,,,,,,,,,,,,,,,,,,,
"Eastern, Sierra Leone",,,,,,,,,,,,,,,,,,,,
"Pulau Pinang, Malaysia",,,,,,,,,,,,,,,,,,,,
"Kayin, Myanmar",,,,,,,,,,,,,,,,,,,,
"Jeollanam-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Kandahār, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Zachodniopomorskie, Poland",,,,,,,,,,,,,,,,,,,,
"Djelfa, Algeria",,,,,,,,,,,,,,,,,,,,
"Västra Götalands län, Sweden",,,,,,,,,,,,,,,,,,,,
"Zaporizka oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Zacatecas, Mexico",,,,,,,,,,,,,,,,,,,,
"Mie, Japan",,,,,,,,,,,,,,,,,,,,
"Manisa, Turkey",,,,,,,,,,,,,,,,,,,,
"Masqaţ, Oman",,,,,,,,,,,,,,,,,,,,
"Centre-Nord, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Bungoma, Kenya",,,,,,,,,,,,,,,,,,,,
"Aragua, Venezuela",,,,,,,,,,,,,,,,,,,,
"Littoral, Benin",,,,,,,,,,,,,,,,,,,,
"Tucumán, Argentina",,,,,,,,,,,,,,,,,,,,
"Kampala, Uganda",,,,,,,,,,,,,,,,,,,,
"Niederösterreich, Austria",,,,,,,,,,,,,,,,,,,,
"Adana, Turkey",,,,,,,,,,,,,,,,,,,,
"Centre-Ouest, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Bié, Angola",,,,,,,,,,,,,,,,,,,,
"Panamá, Panama",,,,,,,,,,,,,,,,,,,,
"Kirkūk, Iraq",,,,,,,,,,,,,,,,,,,,
"Kyivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Ubon Ratchathani, Thailand",,,,,,,,,,,,,,,,,,,,
"San Salvador, El Salvador",,,,,,,,,,,,,,,,,,,,
"Vallée du Bandama, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Nariño, Colombia",,,,,,,,,,,,,,,,,,,,
"Daejeon-gwangyeoksi, South Korea",,,,,,,,,,,,,,,,,,,,
"Pahang, Malaysia",,,,,,,,,,,,,,,,,,,,
"Ðồng Tháp, Vietnam",,,,,,,,,,,,,,,,,,,,
"Borgou, Benin",,,,,,,,,,,,,,,,,,,,
"Lagunes, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Kosovo-Metohija, Serbia",,,,,,,,,,,,,,,,,,,,
"Uusimaa, Finland",,,,,,,,,,,,,,,,,,,,
"Quintana Roo, Mexico",,,,,,,,,,,,,,,,,,,,
"Haut-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Northern, Zambia",,,,,,,,,,,,,,,,,,,,
"Cibao Nord, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"San José, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Belgorodskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Brazzaville, Congo",,,,,,,,,,,,,,,,,,,,
"Khanty-Mansiyskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,,,,,,,
"Kangwon-do [Kangweonto], North Korea",,,,,,,,,,,,,,,,,,,,
"Ḩaḑramawt, Yemen",,,,,,,,,,,,,,,,,,,,
"Chungcheongbuk-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Kagosima, Japan",,,,,,,,,,,,,,,,,,,,
"Ardabīl, Iran",,,,,,,,,,,,,,,,,,,,
"Luapula, Zambia",,,,,,,,,,,,,,,,,,,,
"Sofia, Madagascar",,,,,,,,,,,,,,,,,,,,
"Manabí, Ecuador",,,,,,,,,,,,,,,,,,,,
"Puducherry, India",,,,,,,,,,,,,,,,,,,,
"Ulaanbaatar, Mongolia",,,,,,,,,,,,,,,,,,,,
"An Najaf, Iraq",,,,,,,,,,,,,,,,,,,,
"Meru, Kenya",,,,,,,,,,,,,,,,,,,,
"Tocantins, Brazil",,,,,,,,,,,,,,,,,,,,
"Managua, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Kelantan, Malaysia",,,,,,,,,,,,,,,,,,,,
"Nahr an Nīl, Sudan",,,,,,,,,,,,,,,,,,,,
"Songwe, Tanzania",,,,,,,,,,,,,,,,,,,,
"Næ̆gĕnahira paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Fāryāb, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Dumyāţ, Egypt",,,,,,,,,,,,,,,,,,,,
"Kepulauan Bangka Belitung, Indonesia",,,,,,,,,,,,,,,,,,,,
"Gangwon-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Mtwara, Tanzania",,,,,,,,,,,,,,,,,,,,
"Tyumenskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Goa, India",,,,,,,,,,,,,,,,,,,,
"Vinnytska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Cajamarca, Peru",,,,,,,,,,,,,,,,,,,,
"Nord, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Mecklenburg-Vorpommern, Germany",,,,,,,,,,,,,,,,,,,,
"Sardegna, Italy",,,,,,,,,,,,,,,,,,,,
"Negros Oriental, Philippines",,,,,,,,,,,,,,,,,,,,
"Bolívar, Venezuela",,,,,,,,,,,,,,,,,,,,
"Badakhshān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Gia Lai, Vietnam",,,,,,,,,,,,,,,,,,,,
"Murcia, Región de, Spain",,,,,,,,,,,,,,,,,,,,
"Chagang-do [Jakangto], North Korea",,,,,,,,,,,,,,,,,,,,
"Bắc Giang, Vietnam",,,,,,,,,,,,,,,,,,,,
"South Cotabato, Philippines",,,,,,,,,,,,,,,,,,,,
"Inhambane, Mozambique",,,,,,,,,,,,,,,,,,,,
"Anzoátegui, Venezuela",,,,,,,,,,,,,,,,,,,,
"Gaza, Mozambique",,,,,,,,,,,,,,,,,,,,
"Sulawesi Barat, Indonesia",,,,,,,,,,,,,,,,,,,,
"Samsun, Turkey",,,,,,,,,,,,,,,,,,,,
"Junín, Peru",,,,,,,,,,,,,,,,,,,,
"Liguria, Italy",,,,,,,,,,,,,,,,,,,,
"Warmińsko-mazurskie, Poland",,,,,,,,,,,,,,,,,,,,
"Marche, Italy",,,,,,,,,,,,,,,,,,,,
"Bình Định, Vietnam",,,,,,,,,,,,,,,,,,,,
"Maluku Utara, Indonesia",,,,,,,,,,,,,,,,,,,,
"Siga, Japan",,,,,,,,,,,,,,,,,,,,
"Takhār, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Mashonaland Central, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Tel-Aviv, Israel",,,,,,,,,,,,,,,,,,,,
"Puno, Peru",,,,,,,,,,,,,,,,,,,,
"Baat Dambang [Batdâmbâng], Cambodia",,,,,,,,,,,,,,,,,,,,
"Zürich, Switzerland",,,,,,,,,,,,,,,,,,,,
"Chechenskaya Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Homieĺskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,
"Davao del Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Tanintharyi, Myanmar",,,,,,,,,,,,,,,,,,,,
"Udmurtskaya Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Madīnat Injamīnā, Chad",,,,,,,,,,,,,,,,,,,,
"Wajir, Kenya",,,,,,,,,,,,,,,,,,,,
"Středočeský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Wāsiţ, Iraq",,,,,,,,,,,,,,,,,,,,
"Oberösterreich, Austria",,,,,,,,,,,,,,,,,,,,
"Idlib, Syria",,,,,,,,,,,,,,,,,,,,
"Kandaal [Kândal], Cambodia",,,,,,,,,,,,,,,,,,,,
"Okinawa, Japan",,,,,,,,,,,,,,,,,,,,
"Albay, Philippines",,,,,,,,,,,,,,,,,,,,
"Sahel, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Hawaii, USA",0.8081525374258451,0.013241091819083796,0.04414922077781312,0.04892392448616698,0.06956148469767932,0.249069307359642,,0.33932761545807655,,0.3213485046328731,,0.09025457254940836,,0.07942848825744539,0.9205715117425546,0.5919427973972394,7.05062416940208e-05,2.1667771837674687e-05,1025.0,315.0
"Lacs, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Kayseri, Turkey",,,,,,,,,,,,,,,,,,,,
"Quảng Nam, Vietnam",,,,,,,,,,,,,,,,,,,,
"Atsinanana, Madagascar",,,,,,,,,,,,,,,,,,,,
"Al Ismā‘īlīyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Bresckaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,
"Cunene, Angola",,,,,,,,,,,,,,,,,,,,
"Tunis, Tunisia",,,,,,,,,,,,,,,,,,,,
"Arequipa, Peru",,,,,,,,,,,,,,,,,,,,
"Karbalā’, Iraq",,,,,,,,,,,,,,,,,,,,
"Garissa, Kenya",,,,,,,,,,,,,,,,,,,,
"Malange, Angola",,,,,,,,,,,,,,,,,,,,
"HaTsafon, Israel",,,,,,,,,,,,,,,,,,,,
"Chon Buri, Thailand",,,,,,,,,,,,,,,,,,,,
"Tarlac, Philippines",,,,,,,,,,,,,,,,,,,,
"Al Ḩasakah, Syria",,,,,,,,,,,,,,,,,,,,
"Jāzān, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Gwangju-gwangyeoksi, South Korea",,,,,,,,,,,,,,,,,,,,
"Skåne län, Sweden",,,,,,,,,,,,,,,,,,,,
"Salta, Argentina",,,,,,,,,,,,,,,,,,,,
"Plateaux, Togo",,,,,,,,,,,,,,,,,,,,
"'Amrān, Yemen",,,,,,,,,,,,,,,,,,,,
"Northern, Sierra Leone",,,,,,,,,,,,,,,,,,,,
"Bohol, Philippines",,,,,,,,,,,,,,,,,,,,
"Shyghys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Rukwa, Tanzania",,,,,,,,,,,,,,,,,,,,
"Lâm Ðồng, Vietnam",,,,,,,,,,,,,,,,,,,,
"Sofia (stolitsa), Bulgaria",,,,,,,,,,,,,,,,,,,,
"Yamaguti, Japan",,,,,,,,,,,,,,,,,,,,
"Alta Verapaz, Guatemala",,,,,,,,,,,,,,,,,,,,
"Sóc Trăng, Vietnam",,,,,,,,,,,,,,,,,,,,
"Qaraghandy oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Balıkesir, Turkey",,,,,,,,,,,,,,,,,,,,
"Nayarit, Mexico",,,,,,,,,,,,,,,,,,,,
"Batna, Algeria",,,,,,,,,,,,,,,,,,,,
"Tul'skaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Aguascalientes, Mexico",,,,,,,,,,,,,,,,,,,,
"Mary, Turkmenistan",,,,,,,,,,,,,,,,,,,,
"Al Uqşur, Egypt",,,,,,,,,,,,,,,,,,,,
"Moxico, Angola",,,,,,,,,,,,,,,,,,,,
"Ghaznī, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Ivano-Frankivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Mombasa, Kenya",,,,,,,,,,,,,,,,,,,,
"Cauca, Colombia",,,,,,,,,,,,,,,,,,,,
"New Hampshire, USA",0.8498260197899443,0.002935458057803644,0.023515680724750368,0.007092125907250612,0.10830819997911095,0.27645927116815594,,0.3452436738701125,,0.2832574932644702,,0.09503956169726141,,0.047282863629064066,0.9527171363709359,0.6526022912966313,8.646807324303193e-05,1.1035388020941102e-05,1191.0,152.0
"Poltavska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Kisii, Kenya",,,,,,,,,,,,,,,,,,,,
"Nakhon Si Thammarat, Thailand",,,,,,,,,,,,,,,,,,,,
"North Western, Sierra Leone",,,,,,,,,,,,,,,,,,,,
"Uturumæ̆da paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Entre Ríos, Argentina",,,,,,,,,,,,,,,,,,,,
"Maine, USA",0.8414861389223136,0.004227840238357819,0.03693885706032407,0.004918968264779269,0.10465999047054467,0.3242079790938053,,0.3490837004099374,,0.2608444011231699,,0.06586391937308729,,0.06825245745567984,0.9317475425443202,0.6019189371117695,0.00011378735712345559,1.2553314882652201e-05,1550.0,171.0
"Huehuetenango, Guatemala",,,,,,,,,,,,,,,,,,,,
"Ehime, Japan",,,,,,,,,,,,,,,,,,,,
"Cagayan, Philippines",,,,,,,,,,,,,,,,,,,,
"Aragón, Spain",,,,,,,,,,,,,,,,,,,,
"Tlaxcala, Mexico",,,,,,,,,,,,,,,,,,,,
"Almaty, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Kilifi, Kenya",,,,,,,,,,,,,,,,,,,,
"Penzenskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Cotabato, Philippines",,,,,,,,,,,,,,,,,,,,
"Msila, Algeria",,,,,,,,,,,,,,,,,,,,
"Nuwākshūţ, Mauritania",,,,,,,,,,,,,,,,,,,,
"Manitoba, Canada",,,,,,,0.36601039103090205,,0.37363764209539224,,0.22046759639048413,,0.03988437048322157,,,,,,,
"Boké, Guinea",,,,,,,,,,,,,,,,,,,,
"Palawan, Philippines",,,,,,,,,,,,,,,,,,,,
"Van, Turkey",,,,,,,,,,,,,,,,,,,,
"Comoé, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Tây Ninh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Praha, Hlavní město, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",,,,,,,,,,,,,,,,,,,,
"Midtjylland, Denmark",,,,,,,,,,,,,,,,,,,,
"Nagasaki, Japan",,,,,,,,,,,,,,,,,,,,
"Misiones, Argentina",,,,,,,,,,,,,,,,,,,,
"Atsimo-Atsinanana, Madagascar",,,,,,,,,,,,,,,,,,,,
"Al Qaşīm, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Blida, Algeria",,,,,,,,,,,,,,,,,,,,
"Tolima, Colombia",,,,,,,,,,,,,,,,,,,,
"Khabarovskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Mai-Ndombe, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Boumerdès, Algeria",,,,,,,,,,,,,,,,,,,,
"Ūva paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Northern Cape, South Africa",,,,,,,,,,,,,,,,,,,,
"Chlef, Algeria",,,,,,,,,,,,,,,,,,,,
"Jonglei, South Sudan",,,,,,,,,,,,,,,,,,,,
"Mzimba, Malawi",,,,,,,,,,,,,,,,,,,,
"Bīnshangul Gumuz, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Minskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,
"Quảng Ngãi, Vietnam",,,,,,,,,,,,,,,,,,,,
"Helmand, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Lambayeque, Peru",,,,,,,,,,,,,,,,,,,,
"North East, Singapore",,,,,,,,,,,,,,,,,,,,
"Montevideo, Uruguay",,,,,,,,,,,,,,,,,,,,
"Gorontalo, Indonesia",,,,,,,,,,,,,,,,,,,,
"Mizoram, India",,,,,,,,,,,,,,,,,,,,
"Vladimirskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Jizzax, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Utrecht, Netherlands",,,,,,,,,,,,,,,,,,,,
"Bến Tre, Vietnam",,,,,,,,,,,,,,,,,,,,
"Norte de Santander, Colombia",,,,,,,,,,,,,,,,,,,,
"Shymkent, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Tshuapa, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Blantyre, Malawi",,,,,,,,,,,,,,,,,,,,
"Chiang Rai, Thailand",,,,,,,,,,,,,,,,,,,,
"Ḩamāh, Syria",,,,,,,,,,,,,,,,,,,,
"Kordestān, Iran",,,,,,,,,,,,,,,,,,,,
"Daşoguz, Turkmenistan",,,,,,,,,,,,,,,,,,,,
"Aswān, Egypt",,,,,,,,,,,,,,,,,,,,
"Adamaoua, Cameroon",,,,,,,,,,,,,,,,,,,,
"Atlantique, Benin",,,,,,,,,,,,,,,,,,,,
"Ville de Kigali, Rwanda",,,,,,,,,,,,,,,,,,,,
"Munster, Ireland",,,,,,,,,,,,,,,,,,,,
"Jalal-Abad, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Magdalena, Colombia",,,,,,,,,,,,,,,,,,,,
"Uasin Gishu, Kenya",,,,,,,,,,,,,,,,,,,,
"Nara, Japan",,,,,,,,,,,,,,,,,,,,
"Cà Mau, Vietnam",,,,,,,,,,,,,,,,,,,,
"Bình Phước, Vietnam",,,,,,,,,,,,,,,,,,,,
"Maysān, Iraq",,,,,,,,,,,,,,,,,,,,
"Şan‘ā’, Yemen",,,,,,,,,,,,,,,,,,,,
"Hưng Yên, Vietnam",,,,,,,,,,,,,,,,,,,,
"Abruzzo, Italy",,,,,,,,,,,,,,,,,,,,
"North West, Singapore",,,,,,,,,,,,,,,,,,,,
"Aomori, Japan",,,,,,,,,,,,,,,,,,,,
"Savanes, Togo",,,,,,,,,,,,,,,,,,,,
"Machakos, Kenya",,,,,,,,,,,,,,,,,,,,
"Karnali, Nepal",,,,,,,,,,,,,,,,,,,,
"Cabinda, Angola",,,,,,,,,,,,,,,,,,,,
"Zakarpatska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Steiermark, Austria",,,,,,,,,,,,,,,,,,,,
"Ul'yanovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Iwate, Japan",,,,,,,,,,,,,,,,,,,,
"Viciebskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,
"Tverskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Dayr az Zawr, Syria",,,,,,,,,,,,,,,,,,,,
"Baghlān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Khmelnytska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Quiché, Guatemala",,,,,,,,,,,,,,,,,,,,
"Lebap, Turkmenistan",,,,,,,,,,,,,,,,,,,,
"Świętokrzyskie, Poland",,,,,,,,,,,,,,,,,,,,
"Lanao del Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Yaroslavskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Syddanmark, Denmark",,,,,,,,,,,,,,,,,,,,
"Bà Rịa - Vũng Tàu, Vietnam",,,,,,,,,,,,,,,,,,,,
"Bruxelles-Capitale: Région de, Belgium",,,,,,,,,,,,,,,,,,,,
"HaDarom, Israel",,,,,,,,,,,,,,,,,,,,
"An Nīl al Azraq, Sudan",,,,,,,,,,,,,,,,,,,,
"Central, Paraguay",,,,,,,,,,,,,,,,,,,,
"Alibori, Benin",,,,,,,,,,,,,,,,,,,,
"Bình Thuận, Vietnam",,,,,,,,,,,,,,,,,,,,
"Wādī Fīrā’, Chad",,,,,,,,,,,,,,,,,,,,
"Nord-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Friuli Venezia Giulia, Italy",,,,,,,,,,,,,,,,,,,,
"South West, Singapore",,,,,,,,,,,,,,,,,,,,
"Hà Tĩnh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Nord, Haiti",,,,,,,,,,,,,,,,,,,,
"Kahramanmaraş, Turkey",,,,,,,,,,,,,,,,,,,,
"Khánh Hòa, Vietnam",,,,,,,,,,,,,,,,,,,,
"Papua Barat, Indonesia",,,,,,,,,,,,,,,,,,,,
"Viken, Norway",,,,,,,,,,,,,,,,,,,,
"Central Equatoria, South Sudan",,,,,,,,,,,,,,,,,,,,
"Labé, Guinea",,,,,,,,,,,,,,,,,,,,
